symbol,market_group,timeframe,layer_type,label,price,start_time,end_time,color,style,source,is_operational
CADCHF.r,Forex Majors,H4,fibonacci_0_5,Fib 50,0.570025,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H4,fibonacci_0_618,Fib 61.8,0.57109998,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H4,fibonacci_0_786,Fib 78.6,0.57263046,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H4,fibonacci_1_272,Fib ext 1.272,0.56299208,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CADCHF.r,Forex Majors,H4,fibonacci_1_618,Fib ext 1.618,0.55984002,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H1,fibonacci_0_0,Fib 0,115.348,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H1,fibonacci_1_0,Fib 100,114.64,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H1,fibonacci_0_236,Fib 23.6,115.18091,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H1,fibonacci_0_382,Fib 38.2,115.07754,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H1,fibonacci_0_5,Fib 50,114.994,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H1,fibonacci_0_618,Fib 61.8,114.91046,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H1,fibonacci_0_786,Fib 78.6,114.79151,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H1,fibonacci_1_272,Fib ext 1.272,115.54058,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H1,fibonacci_1_618,Fib ext 1.618,115.78554,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H4,fibonacci_0_0,Fib 0,114.515,2026-04-27 12:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H4,fibonacci_1_0,Fib 100,115.646,2026-04-27 12:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H4,fibonacci_0_236,Fib 23.6,114.78192,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H4,fibonacci_0_382,Fib 38.2,114.94704,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H4,fibonacci_0_5,Fib 50,115.0805,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H4,fibonacci_0_618,Fib 61.8,115.21396,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H4,fibonacci_0_786,Fib 78.6,115.40397,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H4,fibonacci_1_272,Fib ext 1.272,114.20737,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CADJPY.r,Forex Majors,H4,fibonacci_1_618,Fib ext 1.618,113.81604,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H1,fibonacci_0_0,Fib 0,200.814,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H1,fibonacci_1_0,Fib 100,203.129,2026-05-22 19:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H1,fibonacci_0_236,Fib 23.6,201.36034,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H1,fibonacci_0_382,Fib 38.2,201.69833,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H1,fibonacci_0_5,Fib 50,201.9715,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H1,fibonacci_0_618,Fib 61.8,202.24467,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H1,fibonacci_0_786,Fib 78.6,202.63359,2026-05-22 19:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H1,fibonacci_1_272,Fib ext 1.272,200.18432,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H1,fibonacci_1_618,Fib ext 1.618,199.38333,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H4,fibonacci_0_0,Fib 0,204.201,2026-04-27 12:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H4,fibonacci_1_0,Fib 100,201.841,2026-04-27 12:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H4,fibonacci_0_236,Fib 23.6,203.64404,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H4,fibonacci_0_382,Fib 38.2,203.29948,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H4,fibonacci_0_5,Fib 50,203.021,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H4,fibonacci_0_618,Fib 61.8,202.74252,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H4,fibonacci_0_786,Fib 78.6,202.34604,2026-04-27 12:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H4,fibonacci_1_272,Fib ext 1.272,204.84292,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CHFJPY.r,Forex Majors,H4,fibonacci_1_618,Fib ext 1.618,205.65948,2026-04-27 12:00:00,2026-06-08 08:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CHINA50,Index,H1,fibonacci_0_0,Fib 0,15317,2026-05-21 22:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
CHINA50,Index,H1,fibonacci_1_0,Fib 100,15872,2026-05-21 22:00:00,2026-06-08 14:00:00,#d7a84b,solid,fibonacci_context_v1,False
CHINA50,Index,H1,fibonacci_0_236,Fib 23.6,15447.98,2026-05-21 22:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CHINA50,Index,H1,fibonacci_0_382,Fib 38.2,15529.01,2026-05-21 22:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CHINA50,Index,H1,fibonacci_0_5,Fib 50,15594.5,2026-05-21 22:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CHINA50,Index,H1,fibonacci_0_618,Fib 61.8,15659.99,2026-05-21 22:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CHINA50,Index,H1,fibonacci_0_786,Fib 78.6,15753.23,2026-05-21 22:00:00,2026-06-08 14:00:00,#c793ff,dash,fibonacci_context_v1,False
CHINA50,Index,H1,fibonacci_1_272,Fib ext 1.272,15166.04,2026-05-21 22:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CHINA50,Index,H1,fibonacci_1_618,Fib ext 1.618,14974.01,2026-05-21 22:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
CHINA50,Index,H4,fibonacci_0_0,Fib 0,15829.5,2026-04-27 04:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
CHINA50,Index,H4,fibonacci_1_0,Fib 100,15242.5,2026-04-27 04:00:00,2026-06-08 08:00:00,#d7a84b,solid,fibonacci_context_v1,False
CHINA50,Index,H4,fibonacci_0_236,Fib 23.6,15690.968,2026-04-27 04:00:00,2026-06-08 08:00:00,#c793ff,dash,fibonacci_context_v1,False
