symbol,market_group,timeframe,swing_direction,swing_start_time,swing_end_time,swing_start_price,swing_end_price,swing_range_pct,swing_bars,swing_tr_multiple,materiality_status,pivot_count,swing_quality,swing_reason,nearest_fib_level,nearest_fib_ratio,nearest_fib_distance_pct,fibonacci_context,fibonacci_status,source_ohlc,is_signal,is_study_only,can_execute_order,would_send_to_mt5,would_send_telegram_order
XAGUSD.r,Metals,H4,bearish,2026-05-13 16:00:00,2026-05-18 04:00:00,89.353,73.844,17.3570,15,11.8706,passed,35,media,"swing reciente mas material (17.36%, 15 velas, 11.87x TR, score 267.26)",Fib 23.6,0.236,15.6795,contexto Fib 23.6 (15.68%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
XAUEUR.r,Metals,H1,bullish,2026-05-28 08:00:00,2026-05-28 21:00:00,3767.37,3875.25,2.8635,13,8.7958,passed,42,media,"swing reciente mas material (2.86%, 13 velas, 8.80x TR, score 29.11)",Fib 78.6,0.786,0.9644,contexto Fib 78.6 (0.96%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
XAUEUR.r,Metals,H4,bullish,2026-05-28 08:00:00,2026-05-29 16:00:00,3767.37,3935.17,4.4540,8,6.4034,passed,36,media,"swing reciente mas material (4.45%, 8 velas, 6.40x TR, score 43.98)",Fib 78.6,0.786,2.0620,contexto Fib 78.6 (2.06%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
XAUUSD.r,Metals,H1,bearish,2026-06-05 15:00:00,2026-06-08 08:00:00,4475.8,4268.43,4.6331,16,13.8155,passed,38,media,"swing reciente mas material (4.63%, 16 velas, 13.82x TR, score 172.72)",Fib 23.6,0.236,0.3223,contexto Fib 23.6 (0.32%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
XAUUSD.r,Metals,H4,bullish,2026-05-28 04:00:00,2026-05-29 16:00:00,4366.31,4595.32,5.2449,9,6.7031,passed,34,media,"swing reciente mas material (5.24%, 9 velas, 6.70x TR, score 56.81)",Fib 78.6,0.786,2.9466,contexto Fib 78.6 (2.95%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
XCUUSD.r,Metals,H1,bullish,2026-05-29 20:00:00,2026-06-01 14:00:00,13572.15,13884.5,2.3014,12,6.2036,passed,42,fuerte,"swing reciente mas material (2.30%, 12 velas, 6.20x TR, score 20.93)",Fib 78.6,0.786,0.0854,cerca Fib 78.6 (0.09%),fib_near_price,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
XCUUSD.r,Metals,H4,bearish,2026-05-13 00:00:00,2026-05-18 04:00:00,14185.05,13388.9,5.6126,19,9.3913,passed,34,media,"swing reciente mas material (5.61%, 19 velas, 9.39x TR, score 76.56)",Fib 23.6,0.236,0.2466,contexto Fib 23.6 (0.25%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
XPDUSD,Metals,H1,bearish,2026-06-03 07:00:00,2026-06-03 23:00:00,1376.36,1296.2,5.8241,16,7.4602,passed,41,media,"swing reciente mas material (5.82%, 16 velas, 7.46x TR, score 82.07)",Fib 23.6,0.236,7.4732,contexto Fib 23.6 (7.47%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
XPDUSD,Metals,H4,bearish,2026-05-13 16:00:00,2026-05-15 00:00:00,1525,799.27,47.5889,8,23.7399,passed,47,media,"swing reciente mas material (47.59%, 8 velas, 23.74x TR, score 1154.57)",Fib 61.8,0.618,2.1014,contexto Fib 61.8 (2.10%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
XPTUSD,Metals,H1,bearish,2026-06-05 15:00:00,2026-06-08 08:00:00,1903.83,1738.16,8.7019,16,13.6522,passed,44,media,"swing reciente mas material (8.70%, 16 velas, 13.65x TR, score 320.56)",Fib 23.6,0.236,0.3556,contexto Fib 23.6 (0.36%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
XPTUSD,Metals,H4,bullish,2026-05-06 00:00:00,2026-05-07 12:00:00,1549.66,2099.6,35.4878,9,15.4261,passed,44,media,"swing reciente mas material (35.49%, 9 velas, 15.43x TR, score 491.91)",Fib 61.8,0.618,0.3772,contexto Fib 61.8 (0.38%),fib_context_available,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\tfg\live_hook\mt5_ingest_H1_H4_D1_20260608T140013+0200\sql_market_data_readonly\ohlc_mtf.csv,False,True,False,False,False
