example_id,group,symbol,timeframe,example_type,raw_pivot_id,structure_state,pivot_type,pivot_extreme_time,pivot_detected_at,pivot_extreme_price,atr,structural_detected_at,reason,leg_move_abs,leg_move_pct,leg_move_atr,bars_from_previous,replacement_of_raw_pivot_id,structural_pivot_id,previous_structural_pivot_id
index_gap_aus200_m30,Index,AUS200,M30,gap,5,structural_pivot,high,2026-03-10 12:00:00,2026-03-10 13:30:00,8749.5,23.150000000000027,2026-03-10 13:30:00,opposite-type pivot passes structural leg filter,102.0,0.011795316565481353,4.192601291837928,10.0,,3,2.0
index_gap_aus200_m30,Index,AUS200,M30,gap,6,structural_pivot,low,2026-03-10 17:00:00,2026-03-10 18:30:00,8687.5,23.821428571428573,2026-03-10 18:30:00,opposite-type pivot passes structural leg filter,62.0,0.007086119206811818,2.639902676399025,10.0,,4,3.0
index_gap_aus200_m30,Index,AUS200,M30,gap,7,structural_pivot,high,2026-03-10 20:00:00,2026-03-10 21:30:00,8791.5,25.178571428571427,2026-03-10 21:30:00,opposite-type pivot passes structural leg filter,104.0,0.011971223021582733,4.244897959183674,6.0,,5,4.0
index_gap_aus200_m30,Index,AUS200,M30,gap,13,structural_pivot,low,2026-03-11 19:00:00,2026-03-11 20:30:00,8628.8,26.878571428571377,2026-03-11 20:30:00,opposite-type pivot passes structural leg filter,162.70000000000073,0.018506511971791016,6.25082327113066,46.0,,6,5.0
index_gap_aus200_m30,Index,AUS200,M30,gap,14,structural_pivot,high,2026-03-11 22:30:00,2026-03-12 02:30:00,8678.8,23.07857142857145,2026-03-12 02:30:00,opposite-type pivot passes structural leg filter,50.0,0.005794548488781755,2.001715756362598,7.0,,7,6.0
index_gap_aus200_m30,Index,AUS200,M30,gap,17,structural_pivot,low,2026-03-12 06:30:00,2026-03-12 08:00:00,8589.3,20.2214285714286,2026-03-12 08:00:00,more extreme same-type pivot replaces previous structural pivot,80.5,0.009275475872240403,3.5596967782691054,9.0,15.0,8,7.0
index_gap_aus200_m30,Index,AUS200,M30,gap,18,structural_pivot,high,2026-03-12 14:30:00,2026-03-12 16:00:00,8693.3,18.142857142857142,2026-03-12 16:00:00,opposite-type pivot passes structural leg filter,104.0,0.012108087969916059,5.421709178923846,16.0,,9,8.0
index_gap_aus200_m30,Index,AUS200,M30,gap,19,structural_pivot,low,2026-03-12 18:00:00,2026-03-12 19:30:00,8562.3,24.785714285714285,2026-03-12 19:30:00,opposite-type pivot passes structural leg filter,131.0,0.015069076185108074,6.103161397670549,7.0,,10,9.0
index_gap_aus200_m30,Index,AUS200,M30,gap,21,structural_pivot,high,2026-03-13 04:00:00,2026-03-13 05:30:00,8663.6,20.4285714285713,2026-03-13 05:30:00,opposite-type pivot passes structural leg filter,101.30000000000109,0.011830933277273758,4.4808846761454015,20.0,,11,10.0
index_gap_aus200_m30,Index,AUS200,M30,gap,22,structural_pivot,low,2026-03-13 11:00:00,2026-03-13 12:30:00,8504.6,22.56428571428569,2026-03-13 12:30:00,opposite-type pivot passes structural leg filter,159.0,0.018352647860012002,7.396577504568891,14.0,,12,11.0
index_gap_aus200_m30,Index,AUS200,M30,gap,23,structural_pivot,high,2026-03-13 16:30:00,2026-03-13 18:00:00,8645.6,26.19999999999995,2026-03-13 18:00:00,opposite-type pivot passes structural leg filter,141.0,0.016579262987089338,5.782920755822479,11.0,,13,12.0
index_gap_aus200_m30,Index,AUS200,M30,gap,25,structural_pivot,low,2026-03-13 22:30:00,2026-03-16 02:30:00,8531.6,24.714285714285715,2026-03-16 02:30:00,opposite-type pivot passes structural leg filter,114.0,0.01318589802905524,4.478114478114482,12.0,,14,13.0
index_gap_aus200_m30,Index,AUS200,M30,gap,26,structural_pivot,high,2026-03-16 03:30:00,2026-03-16 05:00:00,8620.7,24.714285714285715,2026-03-16 05:00:00,opposite-type pivot passes structural leg filter,89.10000000000036,0.010443527591542073,3.605202312138743,106.0,,15,14.0
index_gap_aus200_m30,Index,AUS200,M30,gap,29,structural_pivot,low,2026-03-16 12:30:00,2026-03-16 14:00:00,8534.7,17.035714285714285,2026-03-16 14:00:00,opposite-type pivot passes structural leg filter,86.0,0.009975988028814364,4.119760479041916,18.0,,16,15.0
index_gap_aus200_m30,Index,AUS200,M30,gap,30,structural_pivot,high,2026-03-16 17:00:00,2026-03-16 18:30:00,8661.7,20.785714285714285,2026-03-16 18:30:00,opposite-type pivot passes structural leg filter,127.0,0.014880429306243921,6.715769593956563,9.0,,17,16.0
index_gap_aus200_m30,Index,AUS200,M30,gap,33,structural_pivot,low,2026-03-17 06:00:00,2026-03-17 07:30:00,8572.7,21.05714285714268,2026-03-17 07:30:00,opposite-type pivot passes structural leg filter,89.0,0.01027511920292783,4.254011608057375,26.0,,18,17.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,1,structural_pivot,low,2026-03-10 07:00:00,2026-03-10 08:30:00,5154.36,12.81124999999986,2026-03-10 08:30:00,initial structural pivot,,,,,,1,
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,6,structural_pivot,high,2026-03-10 18:30:00,2026-03-10 20:00:00,5238.8,18.67142857142874,2026-03-10 20:00:00,more extreme same-type pivot replaces previous structural pivot,40.910000000000764,0.007936969866288108,3.434027595614146,9.0,5.0,2,1.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,11,structural_pivot,low,2026-03-11 11:30:00,2026-03-11 13:00:00,5175.59,11.387142857142928,2026-03-11 13:00:00,more extreme same-type pivot replaces previous structural pivot,44.80000000000018,0.008551576696953535,2.797814207650271,21.0,10.0,3,2.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,12,structural_pivot,high,2026-03-11 15:30:00,2026-03-11 17:00:00,5196.86,17.10928571428576,2026-03-11 17:00:00,opposite-type pivot passes structural leg filter,21.269999999999527,0.004109676384721264,1.4928186489534636,8.0,,4,3.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,17,structural_pivot,low,2026-03-12 03:00:00,2026-03-12 04:30:00,5125.74,16.21428571428578,2026-03-12 04:30:00,opposite-type pivot passes structural leg filter,71.11999999999989,0.013685186824351608,4.268450046084904,23.0,,5,4.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,20,structural_pivot,high,2026-03-12 13:00:00,2026-03-12 14:30:00,5191.61,10.727142857142878,2026-03-12 14:30:00,opposite-type pivot passes structural leg filter,65.86999999999989,0.012850827392727663,4.8898669070470095,20.0,,6,5.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,23,structural_pivot,low,2026-03-12 23:30:00,2026-03-13 02:00:00,5055.26,16.450714285714316,2026-03-13 02:00:00,more extreme same-type pivot replaces previous structural pivot,81.75999999999931,0.01574848650033406,5.921419518377649,10.0,22.0,7,6.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,24,structural_pivot,high,2026-03-13 05:00:00,2026-03-13 06:30:00,5128.67,13.24928571428583,2026-03-13 06:30:00,opposite-type pivot passes structural leg filter,73.40999999999985,0.01452150829037475,4.943434343434309,11.0,,8,7.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,25,structural_pivot,low,2026-03-13 11:00:00,2026-03-13 12:30:00,5061.67,13.365714285714471,2026-03-13 12:30:00,opposite-type pivot passes structural leg filter,67.0,0.013063815765100894,5.034754837497595,12.0,,9,8.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,27,structural_pivot,high,2026-03-13 15:30:00,2026-03-13 17:00:00,5121.92,15.734285714285631,2026-03-13 17:00:00,opposite-type pivot passes structural leg filter,60.25,0.011903186102610402,4.140893470790363,9.0,,10,9.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,30,structural_pivot,low,2026-03-16 02:00:00,2026-03-16 03:30:00,4967.94,22.600714285714407,2026-03-16 03:30:00,more extreme same-type pivot replaces previous structural pivot,102.77000000000044,0.02006474134699496,5.36968407695612,7.0,28.0,11,10.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,34,structural_pivot,high,2026-03-16 09:00:00,2026-03-16 10:30:00,5035.87,17.88928571428583,2026-03-16 10:30:00,more extreme same-type pivot replaces previous structural pivot,58.39000000000033,0.011753362560739528,2.644132488032084,10.0,33.0,12,11.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,35,structural_pivot,low,2026-03-16 13:00:00,2026-03-16 14:30:00,4970.31,18.56000000000001,2026-03-16 14:30:00,opposite-type pivot passes structural leg filter,65.55999999999949,0.013018604531093832,3.597327010131454,8.0,,13,12.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,36,structural_pivot,high,2026-03-16 17:00:00,2026-03-16 18:30:00,5038.07,20.84071428571419,2026-03-16 18:30:00,opposite-type pivot passes structural leg filter,67.75999999999931,0.013632952471777274,3.439531553090018,8.0,,14,13.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,40,structural_pivot,low,2026-03-17 04:00:00,2026-03-17 05:30:00,4994.92,11.519999999999982,2026-03-17 05:30:00,more extreme same-type pivot replaces previous structural pivot,39.42000000000007,0.00782442482934935,2.3725039227908984,17.0,39.0,15,14.0
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,noisy,41,structural_pivot,high,2026-03-17 08:00:00,2026-03-17 09:30:00,5044.62,12.2528571428574,2026-03-17 09:30:00,opposite-type pivot passes structural leg filter,49.69999999999982,0.009950109311060001,4.181239108226611,8.0,,16,15.0
