candidate_id,source_scope,symbol,timeframe,swing_degree,review_category,start_time,end_time,visible_window_range,count_window_range,count_move_abs,prominence_vs_window,move_prominence_vs_window,count_bars,visible_window_bars,duration_vs_window,relative_structure_size,scale_fit_label,scale_notes,chart_path
impulse_exp252_forex_eurusd_h4_major_impulse_016,h4_d1,EURUSD.r,H4,major,impulse,2025-11-21 16:00:00,2025-12-24 04:00:00,0.06708999999999987,0.03167999999999993,0.02919000000000005,0.472202,0.435087,136,900,0.151111,balanced,acceptable_for_timeframe,acceptable_for_timeframe: prominence=0.472; duration=0.151; degree=major; category=impulse,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\near_misses\009_impulse_exp252_forex_eurusd_h4_major_impulse_016.png
impulse_exp252_metals_xagusd_h4_major_impulse_002,h4_d1,XAGUSD.r,H4,major,impulse,2025-08-20 08:00:00,2025-10-09 16:00:00,84.662,14.256,11.863,0.168387,0.140122,219,900,0.243333,medium_small,ambiguous_scale,ambiguous_scale: prominence=0.168; duration=0.243; degree=major; category=impulse,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\near_misses\010_impulse_exp252_metals_xagusd_h4_major_impulse_002.png
impulse_exp252_index_aus200_h4_major_impulse_016,h4_d1,AUS200,H4,major,impulse,2025-10-21 04:00:00,2025-11-21 00:00:00,847.5,736.1200000000008,661.9200000000001,0.868578,0.781027,138,900,0.153333,large,acceptable_for_timeframe,acceptable_for_timeframe: prominence=0.869; duration=0.153; degree=major; category=impulse,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\near_misses\011_impulse_exp252_index_aus200_h4_major_impulse_016.png
impulse_exp252_forex_eurusd_h4_major_impulse_029,h4_d1,EURUSD.r,H4,major,impulse,2026-02-23 00:00:00,2026-03-09 04:00:00,0.06708999999999987,0.032769999999999966,0.030040000000000067,0.488448,0.447757,62,900,0.068889,medium_small,too_small_for_timeframe,too_small_for_timeframe: prominence=0.488; duration=0.069; degree=major; category=impulse,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\near_misses\012_impulse_exp252_forex_eurusd_h4_major_impulse_029.png
partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002,h4_d1,AUDJPY.r,H4,intermediate,partial_123,2025-08-20 16:00:00,2025-09-03 16:00:00,19.557000000000002,2.8940000000000055,2.245999999999995,0.147978,0.114844,61,900,0.067778,medium_small,not_applicable,not_applicable: prominence=0.148; duration=0.068; degree=intermediate; category=partial_123,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\013_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002.png
partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002,h4_d1,XAGUSD.r,H4,intermediate,partial_123,2025-08-20 08:00:00,2025-09-01 08:00:00,84.662,3.797000000000004,3.6409999999999982,0.044849,0.043006,49,900,0.054444,small,not_applicable,not_applicable: prominence=0.045; duration=0.054; degree=intermediate; category=partial_123,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png
partial_123_exp252_index_aus200_h4_intermediate_partial123_001,h4_d1,AUS200,H4,intermediate,partial_123,2025-08-13 04:00:00,2025-08-25 00:00:00,847.5,238.98000000000138,191.48000000000138,0.281982,0.225935,48,900,0.053333,small,not_applicable,not_applicable: prominence=0.282; duration=0.053; degree=intermediate; category=partial_123,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\015_partial_123_exp252_index_aus200_h4_intermediate_partial123_001.png
partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004,h4_d1,AUDJPY.r,H4,intermediate,partial_123,2025-08-27 00:00:00,2025-09-12 12:00:00,19.557000000000002,2.882000000000005,2.3329999999999984,0.147364,0.119292,76,900,0.084444,medium_small,not_applicable,not_applicable: prominence=0.147; duration=0.084; degree=intermediate; category=partial_123,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\016_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004.png
partial_123_exp252_forex_audjpy_h4_minor_partial123_002,h4_d1,AUDJPY.r,H4,minor,partial_123,2025-08-20 16:00:00,2025-08-28 00:00:00,19.557000000000002,1.661999999999992,1.2579999999999956,0.084982,0.064325,33,900,0.036667,small,not_applicable,not_applicable: prominence=0.085; duration=0.037; degree=minor; category=partial_123,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png
partial_123_exp252_metals_xagusd_h4_minor_partial123_002,h4_d1,XAGUSD.r,H4,minor,partial_123,2025-08-20 08:00:00,2025-08-28 20:00:00,84.662,2.158999999999999,1.992999999999995,0.025501,0.023541,40,900,0.044444,small,not_applicable,not_applicable: prominence=0.026; duration=0.044; degree=minor; category=partial_123,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\018_partial_123_exp252_metals_xagusd_h4_minor_partial123_002.png
