hypothesis_id,symbol,timeframe,cut_number,persistent_pivots,candidate_pivots,superseded_recent,pivot_set_hash,pivot_set_changed,estimated_current_wave,display_policy
persistent_wave_v0_US500_H4_cut06_20251215T040000,US500,H4,6,5,1,0,US500_H4_low_2025_08_20T16_00_00_6346_85|US500_H4_high_2025_10_03T16_00_00_6751_97|US500_H4_low_2025_10_10T20_00_00_6496_43|US500_H4_high_2025_10_30T04_00_00_6924_99|US500_H4_low_2025_11_18T16_00_00_6576_4,True,possible_wave5_candidate,show_with_warning
persistent_wave_v0_US500_H4_cut07_20260108T040000,US500,H4,7,6,3,0,US500_H4_low_2025_08_20T16_00_00_6346_85|US500_H4_high_2025_10_03T16_00_00_6751_97|US500_H4_low_2025_10_10T20_00_00_6496_43|US500_H4_high_2025_10_30T04_00_00_6924_99|US500_H4_low_2025_11_18T16_00_00_6576_4|US500_H4_high_2025_12_05T16_00_00_6896_21,True,possible_wave5_active,show_with_warning
persistent_wave_v0_US500_H4_cut08_20260130T040000,US500,H4,8,9,3,0,US500_H4_low_2025_08_20T16_00_00_6346_85|US500_H4_high_2025_10_03T16_00_00_6751_97|US500_H4_low_2025_10_10T20_00_00_6496_43|US500_H4_high_2025_10_30T04_00_00_6924_99|US500_H4_low_2025_11_18T16_00_00_6576_4|US500_H4_high_2025_12_05T16_00_00_6896_21|US500_H4_low_2025_12_18T04_00_00_6722_12|US500_H4_high_2025_12_26T16_00_00_6949_95|US500_H4_low_2026_01_02T20_00_00_6827_1,True,possible_wave5_active,show_with_warning
persistent_wave_v0_US500_H4_cut09_20260223T080000,US500,H4,9,12,2,0,US500_H4_low_2025_08_20T16_00_00_6346_85|US500_H4_high_2025_10_03T16_00_00_6751_97|US500_H4_low_2025_10_10T20_00_00_6496_43|US500_H4_high_2025_10_30T04_00_00_6924_99|US500_H4_low_2025_11_18T16_00_00_6576_4|US500_H4_high_2025_12_05T16_00_00_6896_21|US500_H4_low_2025_12_18T04_00_00_6722_12|US500_H4_high_2025_12_26T16_00_00_6949_95|US500_H4_low_2026_01_02T20_00_00_6827_1|US500_H4_high_2026_01_13T12_00_00_7001_8|US500_H4_low_2026_01_21T12_00_00_6785_65|US500_H4_high_2026_01_28T08_00_00_7017_68,True,possible_wave5_active,show_with_warning
persistent_wave_v0_US500_H4_cut10_20260317T040000,US500,H4,10,14,1,0,US500_H4_low_2025_08_20T16_00_00_6346_85|US500_H4_high_2025_10_03T16_00_00_6751_97|US500_H4_low_2025_10_10T20_00_00_6496_43|US500_H4_high_2025_10_30T04_00_00_6924_99|US500_H4_low_2025_11_18T16_00_00_6576_4|US500_H4_high_2025_12_05T16_00_00_6896_21|US500_H4_low_2025_12_18T04_00_00_6722_12|US500_H4_high_2025_12_26T16_00_00_6949_95|US500_H4_low_2026_01_02T20_00_00_6827_1|US500_H4_high_2026_01_13T12_00_00_7001_8|US500_H4_low_2026_01_21T12_00_00_6785_65|US500_H4_high_2026_01_28T08_00_00_7017_68|US500_H4_low_2026_02_06T00_00_00_6734_22|US500_H4_high_2026_02_11T16_00_00_6995_45,True,possible_wave5_active,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut01_20250826T000000,XAUUSD.r,H4,1,0,1,0,empty,False,possible_wave1,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut02_20250916T200000,XAUUSD.r,H4,2,1,1,0,XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,True,possible_wave2,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut03_20251008T200000,XAUUSD.r,H4,3,1,1,0,XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,False,possible_wave2,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut04_20251030T160000,XAUUSD.r,H4,4,1,2,0,XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58,False,possible_wave2,show_with_warning
persistent_wave_v0_XAUUSD_r_H4_cut05_20251121T160000,XAUUSD.r,H4,5,3,1,0,XAUUSD_r_H4_low_2025_08_20T04_00_00_3311_58|XAUUSD_r_H4_high_2025_10_17T00_00_00_4379_62|XAUUSD_r_H4_low_2025_10_28T12_00_00_3886_53,True,possible_wave4,show_with_warning
