pivot_uid,symbol,timeframe,cut_number,as_of_bar_time,event_type,pivot_type,pivot_detected_at,lookahead_safe
GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716,GBPUSD.r,H4,3,2025-10-08T20:00:00,candidate_seen,high,2025-09-17T16:00:00,True
GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273,GBPUSD.r,H4,3,2025-10-08T20:00:00,candidate_seen,high,2025-10-02T16:00:00,True
GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331,GBPUSD.r,H4,3,2025-10-08T20:00:00,persistent_accepted,low,2025-09-04T08:00:00,True
GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204,GBPUSD.r,H4,3,2025-10-08T20:00:00,candidate_seen,low,2025-09-29T00:00:00,True
GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716,GBPUSD.r,H4,4,2025-10-30T16:00:00,persistent_accepted,high,2025-09-17T16:00:00,True
GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273,GBPUSD.r,H4,4,2025-10-30T16:00:00,persistent_accepted,high,2025-10-02T16:00:00,True
GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331,GBPUSD.r,H4,4,2025-10-30T16:00:00,persistent_seen,low,2025-09-04T08:00:00,True
GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204,GBPUSD.r,H4,4,2025-10-30T16:00:00,persistent_accepted,low,2025-09-29T00:00:00,True
GBPUSD_r_H4_low_2025_10_14T12_00_00_1_32483,GBPUSD.r,H4,4,2025-10-30T16:00:00,candidate_seen,low,2025-10-15T12:00:00,True
GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716,GBPUSD.r,H4,5,2025-11-21T16:00:00,persistent_seen,high,2025-09-17T16:00:00,True
GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273,GBPUSD.r,H4,5,2025-11-21T16:00:00,persistent_seen,high,2025-10-02T16:00:00,True
GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331,GBPUSD.r,H4,5,2025-11-21T16:00:00,persistent_seen,low,2025-09-04T08:00:00,True
GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204,GBPUSD.r,H4,5,2025-11-21T16:00:00,persistent_seen,low,2025-09-29T00:00:00,True
GBPUSD_r_H4_low_2025_11_20T04_00_00_1_30375,GBPUSD.r,H4,5,2025-11-21T16:00:00,candidate_seen,low,2025-11-21T04:00:00,True
GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716,GBPUSD.r,H4,6,2025-12-15T12:00:00,persistent_seen,high,2025-09-17T16:00:00,True
GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273,GBPUSD.r,H4,6,2025-12-15T12:00:00,persistent_seen,high,2025-10-02T16:00:00,True
GBPUSD_r_H4_high_2025_12_11T16_00_00_1_3438,GBPUSD.r,H4,6,2025-12-15T12:00:00,candidate_seen,high,2025-12-12T16:00:00,True
GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331,GBPUSD.r,H4,6,2025-12-15T12:00:00,persistent_seen,low,2025-09-04T08:00:00,True
GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204,GBPUSD.r,H4,6,2025-12-15T12:00:00,persistent_seen,low,2025-09-29T00:00:00,True
GBPUSD_r_H4_low_2025_11_20T04_00_00_1_30375,GBPUSD.r,H4,6,2025-12-15T12:00:00,persistent_accepted,low,2025-11-21T04:00:00,True
GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716,GBPUSD.r,H4,7,2026-01-08T12:00:00,persistent_seen,high,2025-09-17T16:00:00,True
GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273,GBPUSD.r,H4,7,2026-01-08T12:00:00,persistent_seen,high,2025-10-02T16:00:00,True
GBPUSD_r_H4_high_2026_01_06T08_00_00_1_35675,GBPUSD.r,H4,7,2026-01-08T12:00:00,candidate_seen,high,2026-01-07T08:00:00,True
GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331,GBPUSD.r,H4,7,2026-01-08T12:00:00,persistent_seen,low,2025-09-04T08:00:00,True
GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204,GBPUSD.r,H4,7,2026-01-08T12:00:00,persistent_seen,low,2025-09-29T00:00:00,True
GBPUSD_r_H4_low_2025_11_20T04_00_00_1_30375,GBPUSD.r,H4,7,2026-01-08T12:00:00,persistent_seen,low,2025-11-21T04:00:00,True
GBPUSD_r_H4_high_2025_09_16T16_00_00_1_36716,GBPUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,high,2025-09-17T16:00:00,True
GBPUSD_r_H4_high_2025_10_01T16_00_00_1_35273,GBPUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,high,2025-10-02T16:00:00,True
GBPUSD_r_H4_high_2026_01_06T08_00_00_1_35675,GBPUSD.r,H4,8,2026-01-30T08:00:00,persistent_accepted,high,2026-01-07T08:00:00,True
GBPUSD_r_H4_high_2026_01_27T20_00_00_1_38661,GBPUSD.r,H4,8,2026-01-30T08:00:00,candidate_seen,high,2026-01-28T20:00:00,True
GBPUSD_r_H4_low_2025_09_03T08_00_00_1_33331,GBPUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,low,2025-09-04T08:00:00,True
GBPUSD_r_H4_low_2025_09_26T00_00_00_1_33204,GBPUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,low,2025-09-29T00:00:00,True
GBPUSD_r_H4_low_2025_11_20T04_00_00_1_30375,GBPUSD.r,H4,8,2026-01-30T08:00:00,persistent_seen,low,2025-11-21T04:00:00,True
GBPUSD_r_H4_low_2026_01_19T00_00_00_1_33343,GBPUSD.r,H4,8,2026-01-30T08:00:00,candidate_seen,low,2026-01-20T00:00:00,True
