label,status,elapsed_seconds,error,rows_returned
pair_summary_EURCHF.r_D1,ok,0.0331,,1
gap_stats_EURCHF.r_D1,ok,0.0343,,1
gap_examples_short_EURCHF.r_D1,ok,0.0165,,0
gap_examples_session_EURCHF.r_D1,ok,0.0263,,3
pair_summary_EURGBP.r_M15,ok,1.9941,,1
gap_stats_EURGBP.r_M15,ok,1.1124,,1
gap_examples_short_EURGBP.r_M15,ok,1.1177,,3
gap_examples_session_EURGBP.r_M15,ok,1.2666,,3
pair_summary_EURGBP.r_M30,ok,1.2033,,1
gap_stats_EURGBP.r_M30,ok,0.7829,,1
gap_examples_short_EURGBP.r_M30,ok,0.6695,,3
gap_examples_session_EURGBP.r_M30,ok,0.6466,,3
pair_summary_EURGBP.r_H1,ok,0.6517,,1
gap_stats_EURGBP.r_H1,ok,0.3299,,1
gap_examples_short_EURGBP.r_H1,ok,0.311,,3
gap_examples_session_EURGBP.r_H1,ok,0.344,,3
pair_summary_EURGBP.r_H4,ok,0.2078,,1
gap_stats_EURGBP.r_H4,ok,0.1019,,1
gap_examples_short_EURGBP.r_H4,ok,0.0848,,3
gap_examples_session_EURGBP.r_H4,ok,0.0965,,3
pair_summary_EURGBP.r_D1,ok,0.0238,,1
gap_stats_EURGBP.r_D1,ok,0.016,,1
gap_examples_short_EURGBP.r_D1,ok,0.0148,,0
gap_examples_session_EURGBP.r_D1,ok,0.0163,,3
pair_summary_EURJPY.r_M15,ok,1.8543,,1
gap_stats_EURJPY.r_M15,ok,1.198,,1
gap_examples_short_EURJPY.r_M15,ok,1.0243,,3
gap_examples_session_EURJPY.r_M15,ok,1.029,,3
pair_summary_EURJPY.r_M30,ok,2.0485,,1
gap_stats_EURJPY.r_M30,ok,1.0457,,1
gap_examples_short_EURJPY.r_M30,ok,1.0416,,3
gap_examples_session_EURJPY.r_M30,ok,1.0914,,3
pair_summary_EURJPY.r_H1,ok,2.043,,1
gap_stats_EURJPY.r_H1,ok,0.9086,,1
gap_examples_short_EURJPY.r_H1,ok,1.0078,,3
gap_examples_session_EURJPY.r_H1,ok,0.98,,3
pair_summary_EURJPY.r_H4,ok,0.7436,,1
gap_stats_EURJPY.r_H4,ok,0.3763,,1
gap_examples_short_EURJPY.r_H4,ok,0.3966,,3
gap_examples_session_EURJPY.r_H4,ok,0.3915,,3
pair_summary_EURJPY.r_D1,ok,0.1159,,1
gap_stats_EURJPY.r_D1,ok,0.0827,,1
gap_examples_short_EURJPY.r_D1,ok,0.0796,,0
gap_examples_session_EURJPY.r_D1,ok,0.0888,,3
pair_summary_EURNZD.r_M15,ok,2.0645,,1
gap_stats_EURNZD.r_M15,ok,1.0647,,1
gap_examples_short_EURNZD.r_M15,ok,1.021,,3
gap_examples_session_EURNZD.r_M15,ok,0.8854,,3
pair_summary_EURNZD.r_M30,ok,1.2118,,1
gap_stats_EURNZD.r_M30,ok,0.7293,,1
gap_examples_short_EURNZD.r_M30,ok,0.7448,,3
gap_examples_session_EURNZD.r_M30,ok,0.7921,,3
pair_summary_EURNZD.r_H1,ok,0.7173,,1
gap_stats_EURNZD.r_H1,ok,0.3578,,1
gap_examples_short_EURNZD.r_H1,ok,0.322,,3
gap_examples_session_EURNZD.r_H1,ok,0.3691,,3
pair_summary_EURNZD.r_H4,ok,0.1972,,1
gap_stats_EURNZD.r_H4,ok,0.097,,1
gap_examples_short_EURNZD.r_H4,ok,0.0802,,3
gap_examples_session_EURNZD.r_H4,ok,0.0748,,3
pair_summary_EURNZD.r_D1,ok,0.027,,1
gap_stats_EURNZD.r_D1,ok,0.0109,,1
gap_examples_short_EURNZD.r_D1,ok,0.0128,,0
gap_examples_session_EURNZD.r_D1,ok,0.0129,,3
pair_summary_EURUSD.r_M15,ok,2.0079,,1
gap_stats_EURUSD.r_M15,ok,1.2334,,1
gap_examples_short_EURUSD.r_M15,ok,1.1168,,3
gap_examples_session_EURUSD.r_M15,ok,1.1374,,3
pair_summary_EURUSD.r_M30,ok,1.7455,,1
gap_stats_EURUSD.r_M30,ok,1.2065,,1
gap_examples_short_EURUSD.r_M30,ok,1.0565,,3
gap_examples_session_EURUSD.r_M30,ok,1.0873,,3
pair_summary_EURUSD.r_H1,ok,1.892,,1
gap_stats_EURUSD.r_H1,ok,1.1588,,1
gap_examples_short_EURUSD.r_H1,ok,1.1238,,3
gap_examples_session_EURUSD.r_H1,ok,1.2331,,3
pair_summary_EURUSD.r_H4,ok,0.855,,1
gap_stats_EURUSD.r_H4,ok,0.4702,,1
gap_examples_short_EURUSD.r_H4,ok,0.4394,,3
gap_examples_session_EURUSD.r_H4,ok,0.3574,,3
pair_summary_EURUSD.r_D1,ok,0.1113,,1
gap_stats_EURUSD.r_D1,ok,0.0612,,1
gap_examples_short_EURUSD.r_D1,ok,0.0628,,0
gap_examples_session_EURUSD.r_D1,ok,0.0662,,3
pair_summary_GBPAUD.r_M15,ok,2.0801,,1
gap_stats_GBPAUD.r_M15,ok,1.1501,,1
gap_examples_short_GBPAUD.r_M15,ok,0.9066,,3
gap_examples_session_GBPAUD.r_M15,ok,1.1867,,3
pair_summary_GBPAUD.r_M30,ok,1.1109,,1
gap_stats_GBPAUD.r_M30,ok,0.7324,,1
gap_examples_short_GBPAUD.r_M30,ok,0.775,,3
gap_examples_session_GBPAUD.r_M30,ok,0.7955,,3
pair_summary_GBPAUD.r_H1,ok,0.7098,,1
gap_stats_GBPAUD.r_H1,ok,0.4006,,1
gap_examples_short_GBPAUD.r_H1,ok,0.4329,,3
gap_examples_session_GBPAUD.r_H1,ok,0.4087,,3
pair_summary_GBPAUD.r_H4,ok,0.1671,,1
gap_stats_GBPAUD.r_H4,ok,0.0766,,1
gap_examples_short_GBPAUD.r_H4,ok,0.0805,,3
gap_examples_session_GBPAUD.r_H4,ok,0.0875,,3
pair_summary_GBPAUD.r_D1,ok,0.0249,,1
gap_stats_GBPAUD.r_D1,ok,0.0151,,1
gap_examples_short_GBPAUD.r_D1,ok,0.0156,,0
gap_examples_session_GBPAUD.r_D1,ok,0.0174,,3
pair_summary_GBPCAD.r_M15,ok,2.2651,,1
gap_stats_GBPCAD.r_M15,ok,1.2025,,1
gap_examples_short_GBPCAD.r_M15,ok,1.1547,,3
gap_examples_session_GBPCAD.r_M15,ok,1.1541,,3
pair_summary_GBPCAD.r_M30,ok,1.1426,,1
gap_stats_GBPCAD.r_M30,ok,0.6142,,1
gap_examples_short_GBPCAD.r_M30,ok,0.5301,,3
gap_examples_session_GBPCAD.r_M30,ok,0.5967,,3
pair_summary_GBPCAD.r_H1,ok,0.5451,,1
gap_stats_GBPCAD.r_H1,ok,0.3166,,1
gap_examples_short_GBPCAD.r_H1,ok,0.3228,,3
gap_examples_session_GBPCAD.r_H1,ok,0.3201,,3
pair_summary_GBPCAD.r_H4,ok,0.1504,,1
gap_stats_GBPCAD.r_H4,ok,0.0837,,1
gap_examples_short_GBPCAD.r_H4,ok,0.0851,,3
gap_examples_session_GBPCAD.r_H4,ok,0.0887,,3
pair_summary_GBPCAD.r_D1,ok,0.0199,,1
gap_stats_GBPCAD.r_D1,ok,0.0127,,1
gap_examples_short_GBPCAD.r_D1,ok,0.0152,,0
gap_examples_session_GBPCAD.r_D1,ok,0.0194,,3
pair_summary_GBPCHF.r_M15,ok,2.0033,,1
gap_stats_GBPCHF.r_M15,ok,0.909,,1
gap_examples_short_GBPCHF.r_M15,ok,1.0116,,3
gap_examples_session_GBPCHF.r_M15,ok,1.2912,,3
pair_summary_GBPCHF.r_M30,ok,1.1517,,1
gap_stats_GBPCHF.r_M30,ok,0.5678,,1
gap_examples_short_GBPCHF.r_M30,ok,0.6302,,3
gap_examples_session_GBPCHF.r_M30,ok,0.6043,,3
pair_summary_GBPCHF.r_H1,ok,0.5396,,1
gap_stats_GBPCHF.r_H1,ok,0.3018,,1
gap_examples_short_GBPCHF.r_H1,ok,0.3197,,3
gap_examples_session_GBPCHF.r_H1,ok,0.3115,,3
pair_summary_GBPCHF.r_H4,ok,0.1072,,1
gap_stats_GBPCHF.r_H4,ok,0.0797,,1
gap_examples_short_GBPCHF.r_H4,ok,0.0843,,3
gap_examples_session_GBPCHF.r_H4,ok,0.1047,,3
pair_summary_GBPCHF.r_D1,ok,0.0408,,1
gap_stats_GBPCHF.r_D1,ok,0.0193,,1
gap_examples_short_GBPCHF.r_D1,ok,0.0169,,0
gap_examples_session_GBPCHF.r_D1,ok,0.0134,,3
pair_summary_GBPJPY.r_M15,ok,1.9018,,1
gap_stats_GBPJPY.r_M15,ok,1.0651,,1
gap_examples_short_GBPJPY.r_M15,ok,1.075,,3
gap_examples_session_GBPJPY.r_M15,ok,1.01,,3
pair_summary_GBPJPY.r_M30,ok,1.2103,,1
gap_stats_GBPJPY.r_M30,ok,0.7644,,1
gap_examples_short_GBPJPY.r_M30,ok,0.739,,3
gap_examples_session_GBPJPY.r_M30,ok,0.8063,,3
pair_summary_GBPJPY.r_H1,ok,0.6231,,1
gap_stats_GBPJPY.r_H1,ok,0.3217,,1
gap_examples_short_GBPJPY.r_H1,ok,0.3415,,3
gap_examples_session_GBPJPY.r_H1,ok,0.5033,,3
pair_summary_GBPJPY.r_H4,ok,0.1802,,1
gap_stats_GBPJPY.r_H4,ok,0.0926,,1
gap_examples_short_GBPJPY.r_H4,ok,0.0966,,3
gap_examples_session_GBPJPY.r_H4,ok,0.1004,,3
pair_summary_GBPJPY.r_D1,ok,0.047,,1
gap_stats_GBPJPY.r_D1,ok,0.016,,1
gap_examples_short_GBPJPY.r_D1,ok,0.018,,0
gap_examples_session_GBPJPY.r_D1,ok,0.0148,,3
pair_summary_GBPNZD.r_M15,ok,1.9443,,1
gap_stats_GBPNZD.r_M15,ok,1.1758,,1
gap_examples_short_GBPNZD.r_M15,ok,0.9494,,3
gap_examples_session_GBPNZD.r_M15,ok,1.1311,,3
pair_summary_GBPNZD.r_M30,ok,1.2082,,1
gap_stats_GBPNZD.r_M30,ok,0.6527,,1
gap_examples_short_GBPNZD.r_M30,ok,0.6099,,3
gap_examples_session_GBPNZD.r_M30,ok,0.674,,3
pair_summary_GBPNZD.r_H1,ok,0.561,,1
gap_stats_GBPNZD.r_H1,ok,0.3316,,1
gap_examples_short_GBPNZD.r_H1,ok,0.3067,,3
gap_examples_session_GBPNZD.r_H1,ok,0.2515,,3
pair_summary_GBPNZD.r_H4,ok,0.1134,,1
gap_stats_GBPNZD.r_H4,ok,0.0544,,1
gap_examples_short_GBPNZD.r_H4,ok,0.0622,,3
gap_examples_session_GBPNZD.r_H4,ok,0.0714,,3
pair_summary_GBPNZD.r_D1,ok,0.0207,,1
gap_stats_GBPNZD.r_D1,ok,0.0146,,1
gap_examples_short_GBPNZD.r_D1,ok,0.0117,,0
gap_examples_session_GBPNZD.r_D1,ok,0.0145,,3
pair_summary_GBPUSD.r_M15,ok,1.945,,1
gap_stats_GBPUSD.r_M15,ok,1.0873,,1
gap_examples_short_GBPUSD.r_M15,ok,1.0757,,3
gap_examples_session_GBPUSD.r_M15,ok,1.1071,,3
pair_summary_GBPUSD.r_M30,ok,0.9767,,1
gap_stats_GBPUSD.r_M30,ok,0.6696,,1
gap_examples_short_GBPUSD.r_M30,ok,0.5315,,3
gap_examples_session_GBPUSD.r_M30,ok,0.6393,,3
pair_summary_GBPUSD.r_H1,ok,0.5847,,1
gap_stats_GBPUSD.r_H1,ok,0.3225,,1
gap_examples_short_GBPUSD.r_H1,ok,0.317,,3
gap_examples_session_GBPUSD.r_H1,ok,0.3013,,3
pair_summary_GBPUSD.r_H4,ok,0.1512,,1
gap_stats_GBPUSD.r_H4,ok,0.1194,,1
gap_examples_short_GBPUSD.r_H4,ok,0.0783,,3
gap_examples_session_GBPUSD.r_H4,ok,0.0942,,3
pair_summary_GBPUSD.r_D1,ok,0.0323,,1
gap_stats_GBPUSD.r_D1,ok,0.0154,,1
gap_examples_short_GBPUSD.r_D1,ok,0.0142,,0
gap_examples_session_GBPUSD.r_D1,ok,0.0127,,3
pair_summary_NZDCAD.r_M15,ok,1.794,,1
gap_stats_NZDCAD.r_M15,ok,1.1437,,1
gap_examples_short_NZDCAD.r_M15,ok,1.0471,,3
gap_examples_session_NZDCAD.r_M15,ok,1.298,,3
pair_summary_NZDCAD.r_M30,ok,1.2765,,1
gap_stats_NZDCAD.r_M30,ok,0.9212,,1
gap_examples_short_NZDCAD.r_M30,ok,0.6298,,3
gap_examples_session_NZDCAD.r_M30,ok,0.6038,,3
pair_summary_NZDCAD.r_H1,ok,0.5965,,1
gap_stats_NZDCAD.r_H1,ok,0.3104,,1
gap_examples_short_NZDCAD.r_H1,ok,0.3764,,3
gap_examples_session_NZDCAD.r_H1,ok,0.361,,3
pair_summary_NZDCAD.r_H4,ok,0.177,,1
gap_stats_NZDCAD.r_H4,ok,0.0859,,1
gap_examples_short_NZDCAD.r_H4,ok,0.0829,,3
gap_examples_session_NZDCAD.r_H4,ok,0.0983,,3
pair_summary_NZDCAD.r_D1,ok,0.02,,1
gap_stats_NZDCAD.r_D1,ok,0.0149,,1
gap_examples_short_NZDCAD.r_D1,ok,0.0128,,0
gap_examples_session_NZDCAD.r_D1,ok,0.0154,,3
pair_summary_NZDCHF.r_M15,ok,1.7634,,1
gap_stats_NZDCHF.r_M15,ok,1.2452,,1
gap_examples_short_NZDCHF.r_M15,ok,1.203,,3
gap_examples_session_NZDCHF.r_M15,ok,1.1828,,3
pair_summary_NZDCHF.r_M30,ok,1.1114,,1
gap_stats_NZDCHF.r_M30,ok,0.6177,,1
gap_examples_short_NZDCHF.r_M30,ok,0.6089,,3
gap_examples_session_NZDCHF.r_M30,ok,0.6652,,3
pair_summary_NZDCHF.r_H1,ok,0.5525,,1
gap_stats_NZDCHF.r_H1,ok,0.4075,,1
gap_examples_short_NZDCHF.r_H1,ok,0.3287,,3
gap_examples_session_NZDCHF.r_H1,ok,0.3582,,3
pair_summary_NZDCHF.r_H4,ok,0.139,,1
gap_stats_NZDCHF.r_H4,ok,0.0725,,1
gap_examples_short_NZDCHF.r_H4,ok,0.0703,,3
gap_examples_session_NZDCHF.r_H4,ok,0.0885,,3
pair_summary_NZDCHF.r_D1,ok,0.0226,,1
gap_stats_NZDCHF.r_D1,ok,0.012,,1
gap_examples_short_NZDCHF.r_D1,ok,0.0083,,0
gap_examples_session_NZDCHF.r_D1,ok,0.013,,3
pair_summary_NZDJPY.r_M15,ok,1.8554,,1
gap_stats_NZDJPY.r_M15,ok,1.0884,,1
gap_examples_short_NZDJPY.r_M15,ok,1.022,,3
gap_examples_session_NZDJPY.r_M15,ok,0.9748,,3
pair_summary_NZDJPY.r_M30,ok,1.0337,,1
gap_stats_NZDJPY.r_M30,ok,0.7005,,1
gap_examples_short_NZDJPY.r_M30,ok,0.616,,3
gap_examples_session_NZDJPY.r_M30,ok,0.5001,,3
pair_summary_NZDJPY.r_H1,ok,0.4727,,1
gap_stats_NZDJPY.r_H1,ok,0.3018,,1
gap_examples_short_NZDJPY.r_H1,ok,0.3644,,3
gap_examples_session_NZDJPY.r_H1,ok,0.3251,,3
pair_summary_NZDJPY.r_H4,ok,0.151,,1
gap_stats_NZDJPY.r_H4,ok,0.0861,,1
gap_examples_short_NZDJPY.r_H4,ok,0.0798,,3
gap_examples_session_NZDJPY.r_H4,ok,0.0695,,3
pair_summary_NZDJPY.r_D1,ok,0.0162,,1
gap_stats_NZDJPY.r_D1,ok,0.0104,,1
gap_examples_short_NZDJPY.r_D1,ok,0.0081,,0
gap_examples_session_NZDJPY.r_D1,ok,0.0122,,3
pair_summary_NZDUSD.r_M15,ok,1.8539,,1
gap_stats_NZDUSD.r_M15,ok,1.1934,,1
gap_examples_short_NZDUSD.r_M15,ok,1.2539,,3
gap_examples_session_NZDUSD.r_M15,ok,1.3549,,3
pair_summary_NZDUSD.r_M30,ok,1.2208,,1
gap_stats_NZDUSD.r_M30,ok,0.6526,,1
gap_examples_short_NZDUSD.r_M30,ok,0.6461,,3
gap_examples_session_NZDUSD.r_M30,ok,0.6664,,3
pair_summary_NZDUSD.r_H1,ok,0.5539,,1
