symbol,group,group_normalized,timeframe,expected_minutes,summary_status,summary_error,duplicate_check_mode,duplicate_count,rows_count,first_time,last_time,minutes_since_last,latest_closed_like,stale_for_live,null_ohlc,null_tick_volume,null_spread,null_real_volume,nonpositive_ohlc,bad_ohlc,nan_like_ohlc,negative_volume_spread,misaligned_time,gap_status,gap_error,gap_count,short_gap_count,session_gap_count,max_gap_minutes
EURJPY.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103307,2022-01-19 04:15:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,225,8,217,5775
EURJPY.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,101653,2018-01-10 23:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,439,12,427,5790
EURJPY.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,102243,2009-09-23 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,883,23,860,5820
EURJPY.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,39300,2000-12-15 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,1337,19,1318,6000
EURJPY.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,6559,2000-12-15 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,1334,0,1334,7200
EURNZD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103307,2022-01-19 00:00:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,228,11,217,5775
EURNZD.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59816,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,260,9,251,5790
EURNZD.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
EURNZD.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
EURNZD.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
EURUSD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103310,2022-01-19 02:45:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,226,9,217,5775
EURUSD.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,101654,2018-01-10 19:30:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,440,13,427,5790
EURUSD.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,102249,2009-09-22 13:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,884,24,860,5820
EURUSD.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,40792,2000-01-03 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,1389,22,1367,6000
EURUSD.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,6808,2000-01-03 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,1383,0,1383,7200
GBPAUD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103307,2022-01-18 21:45:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,231,14,217,5775
GBPAUD.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59813,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,261,10,251,5790
GBPAUD.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
GBPAUD.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
GBPAUD.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
GBPCAD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103309,2022-01-18 21:00:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,234,17,217,5775
GBPCAD.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59815,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,262,11,251,5790
GBPCAD.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
GBPCAD.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
GBPCAD.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
GBPCHF.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-18 23:15:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,231,14,217,5775
GBPCHF.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59814,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,262,11,251,5790
GBPCHF.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
GBPCHF.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
GBPCHF.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
GBPJPY.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-19 00:15:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,231,14,217,5775
GBPJPY.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59818,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,261,10,251,5790
GBPJPY.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29914,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
GBPJPY.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
GBPJPY.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
GBPNZD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-18 17:15:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,238,21,217,5775
GBPNZD.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59808,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,263,12,251,5790
GBPNZD.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
GBPNZD.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
GBPNZD.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
GBPUSD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103307,2022-01-19 02:45:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,226,9,217,5775
GBPUSD.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59818,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,261,10,251,5790
GBPUSD.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,257,6,251,5820
GBPUSD.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
GBPUSD.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
NZDCAD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-19 00:00:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,231,14,217,5775
NZDCAD.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59816,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,261,10,251,5790
NZDCAD.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
NZDCAD.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
NZDCAD.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
NZDCHF.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-19 00:30:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,229,12,217,5775
NZDCHF.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59817,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,261,10,251,5790
NZDCHF.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
NZDCHF.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
NZDCHF.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
NZDJPY.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103306,2022-01-19 03:45:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,225,8,217,5775
NZDJPY.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59820,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,259,8,251,5790
NZDJPY.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
NZDJPY.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
NZDJPY.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
NZDUSD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103307,2022-01-19 02:00:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,226,9,217,5775
NZDUSD.r,Forex Majors,Forex Majors,M30,30,ok,,unique_index,0,59818,2021-05-26 00:00:00,2026-03-17 09:30:00,87383.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,260,9,251,5790
NZDUSD.r,Forex Majors,Forex Majors,H1,60,ok,,unique_index,0,29913,2021-05-26 00:00:00,2026-03-17 09:00:00,87413.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,256,5,251,5820
NZDUSD.r,Forex Majors,Forex Majors,H4,240,ok,,unique_index,0,7479,2021-05-26 00:00:00,2026-03-17 04:00:00,87713.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,4,251,6000
NZDUSD.r,Forex Majors,Forex Majors,D1,1440,ok,,unique_index,0,1247,2021-05-26 00:00:00,2026-03-16 00:00:00,89393.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,255,0,255,7200
USDCAD.r,Forex Majors,Forex Majors,M15,15,ok,,unique_index,0,103307,2022-01-19 02:15:00,2026-03-17 10:00:00,87353.9242829,True,True,0,0,0,0,0,0,0,0,0,ok,,227,10,217,5775
