count_id,example_id,group,symbol,timeframe,example_type,swing_degree,pattern_type,count_state,direction,start_pivot_id,end_pivot_id,start_time,end_time,count_detected_at,max_structural_detected_at_used,lookahead_safe,reason,wave1_length,wave2_retrace_of_wave1,wave3_length,wave3_extension_of_wave1,wave4_retrace_of_wave3,wave5_length,wave5_extension_of_wave1,wave5_extension_of_wave3,abc_a_length,abc_b_retrace_of_a,abc_c_length,abc_c_vs_a,major_context_state,major_context_direction,major_context_alignment,major_context_last_pivot_id
index_gap_aus200_m30_abc_004,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,invalidated_count,bullish,4,7,2026-03-10 17:00:00,2026-03-11 22:30:00,2026-03-12 02:30:00,2026-03-12 02:30:00,True,B leg breaks ABC origin; C leg does not exceed A extreme; B retracement exceeds configured maximum; ABC is too compressed: C leg is small versus A,,,,,,,,,104.0,1.564423076923084,50.0,0.4807692307692308,available,bullish,aligned,5
index_gap_aus200_m30_impulse_002,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,impulse,ambiguous_count,bullish,2,7,2026-03-10 07:00:00,2026-03-11 22:30:00,2026-03-12 02:30:00,2026-03-12 02:30:00,True,wave 4 overlaps wave 1 territory; wave 5 fails to exceed wave 3 extreme,102.0,0.6078431372549019,104.0,1.0196078431372548,1.564423076923084,50.0,0.49019607843137253,0.4807692307692308,,,,,available,bullish,aligned,5
index_gap_aus200_m30_abc_005,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,candidate_abc,bearish,5,8,2026-03-10 20:00:00,2026-03-12 06:30:00,2026-03-12 08:00:00,2026-03-12 08:00:00,True,basic ABC constraints satisfied,,,,,,,,,162.70000000000073,0.3073140749846329,89.5,0.5500921942224929,available,bearish,aligned,6
index_gap_aus200_m30_impulse_003,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,impulse,invalidated_count,bearish,3,8,2026-03-10 12:00:00,2026-03-12 06:30:00,2026-03-12 08:00:00,2026-03-12 08:00:00,True,wave 2 breaks wave 1 origin,62.0,1.6774193548387097,162.70000000000073,2.6241935483871086,0.3073140749846329,89.5,1.4435483870967742,0.5500921942224929,,,,,available,bearish,aligned,6
index_gap_aus200_m30_abc_006,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,invalidated_count,bullish,6,9,2026-03-11 19:00:00,2026-03-12 14:30:00,2026-03-12 16:00:00,2026-03-12 16:00:00,True,B leg breaks ABC origin; B retracement exceeds configured maximum,,,,,,,,,50.0,1.79,104.0,2.08,available,bullish,aligned,7
index_gap_aus200_m30_impulse_004,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,impulse,invalidated_count,bullish,4,9,2026-03-10 17:00:00,2026-03-12 14:30:00,2026-03-12 16:00:00,2026-03-12 16:00:00,True,wave 2 breaks wave 1 origin; wave 3 does not exceed wave 1 extreme; wave 4 overlaps wave 1 territory; wave 3 is shorter than both wave 1 and wave 5,104.0,1.564423076923084,50.0,0.4807692307692308,1.79,104.0,1.0,2.08,,,,,available,bullish,aligned,7
index_gap_aus200_m30_abc_007,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,invalidated_count,bearish,7,10,2026-03-11 22:30:00,2026-03-12 18:00:00,2026-03-12 19:30:00,2026-03-12 19:30:00,True,B leg breaks ABC origin; B retracement exceeds configured maximum,,,,,,,,,89.5,1.1620111731843576,131.0,1.4636871508379887,available,bullish,opposed,7
index_gap_aus200_m30_impulse_005,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,impulse,invalidated_count,bearish,5,10,2026-03-10 20:00:00,2026-03-12 18:00:00,2026-03-12 19:30:00,2026-03-12 19:30:00,True,wave 4 overlaps wave 1 territory; wave 3 is shorter than both wave 1 and wave 5,162.70000000000073,0.3073140749846329,89.5,0.5500921942224929,1.1620111731843576,131.0,0.8051628764597383,1.4636871508379887,,,,,available,bullish,opposed,7
index_gap_aus200_m30_abc_008,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,abc,invalidated_count,bullish,8,11,2026-03-12 06:30:00,2026-03-13 04:00:00,2026-03-13 05:30:00,2026-03-13 05:30:00,True,B leg breaks ABC origin; C leg does not exceed A extreme; B retracement exceeds configured maximum,,,,,,,,,104.0,1.2596153846153846,101.30000000000109,0.9740384615384721,available,bullish,aligned,7
index_gap_aus200_m30_impulse_006,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,impulse,invalidated_count,bullish,6,11,2026-03-11 19:00:00,2026-03-13 04:00:00,2026-03-13 05:30:00,2026-03-13 05:30:00,True,wave 2 breaks wave 1 origin; wave 4 overlaps wave 1 territory,50.0,1.79,104.0,2.08,1.2596153846153846,101.30000000000109,2.026000000000022,0.9740384615384721,,,,,available,bullish,aligned,7
