count_id,point_order,point_label,leg_label,example_id,symbol,timeframe,swing_degree,structural_pivot_id,pivot_type,pivot_extreme_time,pivot_detected_at,structural_detected_at,pivot_extreme_price,leg_start_price,leg_end_price,leg_length_abs,ratio_name,ratio_value
forex_clean_eurusd_h1_abc_006,0,0,,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,6,high,2026-03-10 01:00:00,2026-03-10 04:00:00,2026-03-10 04:00:00,1.16455,,1.16455,,,
forex_clean_eurusd_h1_abc_006,1,A,A,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,7,low,2026-03-10 07:00:00,2026-03-10 10:00:00,2026-03-10 10:00:00,1.16069,1.16455,1.16069,0.0038599999999999746,,
forex_clean_eurusd_h1_abc_006,2,B,B,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,8,high,2026-03-10 20:00:00,2026-03-10 23:00:00,2026-03-10 23:00:00,1.16673,1.16069,1.16673,0.006040000000000045,abc_b_retrace_of_a,1.5647668393782603
forex_clean_eurusd_h1_abc_006,3,C,C,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,9,low,2026-03-13 23:00:00,2026-03-16 02:00:00,2026-03-16 02:00:00,1.14107,1.16673,1.14107,0.025660000000000016,abc_c_vs_a,6.647668393782431
forex_clean_eurusd_h1_abc_007,0,0,,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,7,low,2026-03-10 07:00:00,2026-03-10 10:00:00,2026-03-10 10:00:00,1.16069,,1.16069,,,
forex_clean_eurusd_h1_abc_007,1,A,A,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,8,high,2026-03-10 20:00:00,2026-03-10 23:00:00,2026-03-10 23:00:00,1.16673,1.16069,1.16673,0.006040000000000045,,
forex_clean_eurusd_h1_abc_007,2,B,B,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,9,low,2026-03-13 23:00:00,2026-03-16 02:00:00,2026-03-16 02:00:00,1.14107,1.16673,1.14107,0.025660000000000016,abc_b_retrace_of_a,4.248344370860898
forex_clean_eurusd_h1_abc_007,3,C,C,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,10,high,2026-03-16 04:00:00,2026-03-16 07:00:00,2026-03-16 07:00:00,1.14565,1.14107,1.14565,0.0045800000000000285,abc_c_vs_a,0.7582781456953632
forex_clean_eurusd_h1_abc_008,0,0,,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,8,high,2026-03-10 20:00:00,2026-03-10 23:00:00,2026-03-10 23:00:00,1.16673,,1.16673,,,
forex_clean_eurusd_h1_abc_008,1,A,A,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,9,low,2026-03-13 23:00:00,2026-03-16 02:00:00,2026-03-16 02:00:00,1.14107,1.16673,1.14107,0.025660000000000016,,
forex_clean_eurusd_h1_abc_008,2,B,B,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,10,high,2026-03-16 04:00:00,2026-03-16 07:00:00,2026-03-16 07:00:00,1.14565,1.14107,1.14565,0.0045800000000000285,abc_b_retrace_of_a,0.17848791893998542
forex_clean_eurusd_h1_abc_008,3,C,C,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,11,low,2026-03-16 10:00:00,2026-03-16 13:00:00,2026-03-16 13:00:00,1.14142,1.14565,1.14142,0.004229999999999956,abc_c_vs_a,0.1648480124707698
forex_clean_eurusd_h1_abc_009,0,0,,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,9,low,2026-03-13 23:00:00,2026-03-16 02:00:00,2026-03-16 02:00:00,1.14107,,1.14107,,,
forex_clean_eurusd_h1_abc_009,1,A,A,forex_clean_eurusd_h1,EURUSD.r,H1,intermediate,10,high,2026-03-16 04:00:00,2026-03-16 07:00:00,2026-03-16 07:00:00,1.14565,1.14107,1.14565,0.0045800000000000285,,
