shadow_decision_id,setup_id,symbol,market_group,timeframe,setup_type,strategy,direction,setup_status,timing_state,setup_quality_score,automation_scope,min_auto_quality,shadow_state,shadow_reason,hypothetical_entry_time,hypothetical_entry_price,hypothetical_sl,hypothetical_tp1,hypothetical_tp2,would_open_position,would_modify_position,order_sent,can_send_order,source_artifacts,is_shadow_only,is_signal,can_execute_order
36fbc441959c8b99,trading_center_screener_unified_v1|CHFJPY.r|H4|macd_breakout|160,CHFJPY.r,Forex Majors,H4,macd_breakout,macd_breakout,long,context_incomplete,missing_context,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,199.996,204.143,206.500052,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
117402c62e400544,trading_center_screener_unified_v1|EURNZD.r|H4|macd_breakout|142,EURNZD.r,Forex Majors,H4,macd_breakout,macd_breakout,short,context_incomplete,missing_context,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,1.99221,1.94377,1.91521222,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
4a10af40bc708067,trading_center_screener_unified_v1|GBPNZD.r|H4|macd_breakout|140,GBPNZD.r,Forex Majors,H4,macd_breakout,macd_breakout,short,context_incomplete,missing_context,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,2.30583,2.24303,2.2059314600000004,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
5eabc3997c8a5750,trading_center_screener_unified_v1|NZDCAD.r|H1|macd_breakout|557,NZDCAD.r,Forex Majors,H1,macd_breakout,macd_breakout,short,context_incomplete,missing_context,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,0.81755,0.8011900000000001,0.7938728800000001,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
da94883f21897f84,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|137,NZDCAD.r,Forex Majors,H4,macd_breakout,macd_breakout,long,context_incomplete,missing_context,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,0.80083,0.8296,0.8454208,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
2509d19a3cb71acd,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|559,NZDCHF.r,Forex Majors,H1,macd_breakout,macd_breakout,short,context_incomplete,missing_context,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,0.46798,0.45689,0.45216848,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
b09d3a01029ad848,trading_center_screener_unified_v1|NZDJPY.r|H1|macd_breakout|587,NZDJPY.r,Forex Majors,H1,macd_breakout,macd_breakout,short,context_incomplete,missing_context,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,94.891,90.539,88.81045400000001,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
d30162405c3224cd,trading_center_screener_unified_v1|NZDUSD.r|H1|macd_breakout|602,NZDUSD.r,Forex Majors,H1,macd_breakout,macd_breakout,short,context_incomplete,missing_context,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,0.58852,0.57307,0.5665191999999999,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
eccef6626ffc74b2,trading_center_screener_unified_v1|XAUUSD.r|H1|macd_breakout|758,XAUUSD.r,Metals,H1,macd_breakout,macd_breakout,short,context_incomplete,missing_context,2,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,4511.5,4152.089999999999,4040.133119999999,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
b2d3e737e02c935e,trading_center_screener_unified_v1|UK100|H1|macd_breakout|581,UK100,Index,H1,macd_breakout,macd_breakout,long,invalidated_context,invalidated,1,below_min_quality,4,would_skip_context_only,setup_quality_below_min_auto_quality_4,,,10310.45,10367.9,10410.233,False,False,False,False,artifacts\tfg\trading_center_latest\market_radar\market_radar.csv|artifacts\tfg\trading_center_latest\ohlc\ohlc_mtf.csv|artifacts\tfg\trading_center_latest\weavecount\weavecount_screener.csv|artifacts\tfg\trading_center_latest\macd_breakout_watcher\snapshot.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_enriched_setups.csv|artifacts\tfg\trading_center_latest\macd_breakout_enrichment\macd_breakout_chart_layers.csv|artifacts\tfg\trading_center_latest\fibonacci_context\fibonacci_context.csv,True,False,False
