chart_layer_id,setup_id,symbol,timeframe,layer_type,label,price,start_price,end_price,start_time,end_time,color,style,source,is_operational
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,fibonacci_1_272,Fib ext 1.272,52446.554,,,2026-03-02 03:00:00,2026-03-17 09:00:00,#8f6bd1,dot,fibonacci_context_v1,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,fibonacci_1_618,Fib ext 1.618,50961.176,,,2026-03-02 03:00:00,2026-03-17 09:00:00,#8f6bd1,dot,fibonacci_context_v1,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,macd_w1_leg,W1 estudio,,51755.25,55540.25,2026-03-09 08:00:00,2026-03-11 08:00:00,#58e6d3,solid,w1_start_price|w1_end_price,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,macd_w2_retracement,W2 estudio,,55540.25,53160.25,2026-03-11 08:00:00,2026-03-16 12:00:00,#f4b740,solid,w1_end_price|w2_swing_price,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,macd_w2_directrix,Reg W2 highs estudio,,54907.27173913043,53899.13537549407,2026-03-11 08:00:00,2026-03-17 04:00:00,#5ce0ca,dash,w2_high_regression_projected,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,macd_breakout_level,Ruptura estudio,53899.13537549407,53899.13537549407,53899.13537549407,2026-03-11 08:00:00,2026-06-04 21:12:47.522140+00:00,#ffd166,dash,breakout_level,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,macd_sl_study,SL estudio,53160.25,53160.25,53160.25,2026-03-11 08:00:00,2026-06-04 21:12:47.522140+00:00,#ff6b6b,dot,sl_study,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,macd_tp1_study,TP1 estudio,56503.25,56503.25,56503.25,2026-03-11 08:00:00,2026-06-04 21:12:47.522140+00:00,#75d7ff,dot,tp1_study,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,macd_tp2_study,TP2 estudio,58842.38,58842.38,58842.38,2026-03-11 08:00:00,2026-06-04 21:12:47.522140+00:00,#75d7ff,dot,tp2_study,False
trading_center_screener_unified_v1|JP225|H4|macd_breakout|layers,trading_center_screener_unified_v1|JP225|H4|macd_breakout|246,JP225,H4,macd_cross_marker,Cruce MACD,53980.25,,,,,#f7f7f7,marker,last_macd_cross_time,False
