timeframe,asset_1,asset_2,pair,metric,window,latest_corr,previous_corr,delta_prev,mean_corr,latest_abs,obs,is_read_only,can_execute_order,signals_generated
M15,AUDCAD.r,EURO50,AUDCAD.r | EURO50,dcor,96,0.643968,0.512684,0.131283,0.578326,0.643968,80,True,False,False
M15,AUDCAD.r,EURUSD.r,AUDCAD.r | EURUSD.r,pearson,96,0.466384,0.538074,-0.07169,0.502229,0.466384,96,True,False,False
M15,AUDCAD.r,EURUSD.r,AUDCAD.r | EURUSD.r,spearman,96,0.520966,0.593747,-0.07278,0.557356,0.520966,96,True,False,False
M15,AUDCAD.r,EURUSD.r,AUDCAD.r | EURUSD.r,kendall,96,0.376576,0.42807,-0.051494,0.402323,0.376576,96,True,False,False
M15,AUDCAD.r,EURUSD.r,AUDCAD.r | EURUSD.r,dcor,96,0.519099,0.53321,-0.01411,0.526154,0.519099,80,True,False,False
M15,AUDCAD.r,FRA40,AUDCAD.r | FRA40,pearson,96,0.473279,0.49855,-0.02527,0.485914,0.473279,96,True,False,False
M15,AUDCAD.r,FRA40,AUDCAD.r | FRA40,spearman,96,0.560791,0.546622,0.014169,0.553707,0.560791,96,True,False,False
M15,AUDCAD.r,FRA40,AUDCAD.r | FRA40,kendall,96,0.390431,0.387281,0.003151,0.388856,0.390431,96,True,False,False
M15,AUDCAD.r,FRA40,AUDCAD.r | FRA40,dcor,96,0.601657,0.454286,0.147371,0.527972,0.601657,80,True,False,False
M15,AUDCAD.r,GBPAUD.r,AUDCAD.r | GBPAUD.r,pearson,96,-0.869014,-0.525781,-0.343233,-0.697398,0.869014,96,True,False,False
M15,AUDCAD.r,GBPAUD.r,AUDCAD.r | GBPAUD.r,spearman,96,-0.727824,-0.657013,-0.070811,-0.692418,0.727824,96,True,False,False
M15,AUDCAD.r,GBPAUD.r,AUDCAD.r | GBPAUD.r,kendall,96,-0.557298,-0.507018,-0.05028,-0.532158,0.557298,96,True,False,False
M15,AUDCAD.r,GBPAUD.r,AUDCAD.r | GBPAUD.r,dcor,96,0.783055,0.693702,0.089354,0.738378,0.783055,80,True,False,False
M15,AUDCAD.r,GBPCAD.r,AUDCAD.r | GBPCAD.r,pearson,96,0.428087,0.717351,-0.289263,0.572719,0.428087,96,True,False,False
M15,AUDCAD.r,GBPCAD.r,AUDCAD.r | GBPCAD.r,spearman,96,0.524181,0.593855,-0.069674,0.559018,0.524181,96,True,False,False
M15,AUDCAD.r,GBPCAD.r,AUDCAD.r | GBPCAD.r,kendall,96,0.379208,0.433333,-0.054125,0.406271,0.379208,96,True,False,False
M15,AUDCAD.r,GBPCAD.r,AUDCAD.r | GBPCAD.r,dcor,96,0.477717,0.625924,-0.148207,0.551821,0.477717,80,True,False,False
M15,AUDCAD.r,GBPCHF.r,AUDCAD.r | GBPCHF.r,pearson,96,0.235453,0.048799,0.186654,0.142126,0.235453,96,True,False,False
M15,AUDCAD.r,GBPCHF.r,AUDCAD.r | GBPCHF.r,spearman,96,0.218334,0.06404,0.154294,0.141187,0.218334,96,True,False,False
M15,AUDCAD.r,GBPCHF.r,AUDCAD.r | GBPCHF.r,kendall,96,0.145849,0.051754,0.094095,0.098802,0.145849,96,True,False,False
M15,AUDCAD.r,GBPCHF.r,AUDCAD.r | GBPCHF.r,dcor,96,0.264864,0.235301,0.029563,0.250082,0.264864,80,True,False,False
M15,AUDCAD.r,GBPJPY.r,AUDCAD.r | GBPJPY.r,pearson,96,0.33708,0.271902,0.065178,0.304491,0.33708,96,True,False,False
M15,AUDCAD.r,GBPJPY.r,AUDCAD.r | GBPJPY.r,spearman,96,0.275252,0.297016,-0.021764,0.286134,0.275252,96,True,False,False
M15,AUDCAD.r,GBPJPY.r,AUDCAD.r | GBPJPY.r,kendall,96,0.185327,0.211842,-0.026515,0.198585,0.185327,96,True,False,False
