Group,strategy,symbol,timeframe_ltf,timeframe_htf,timestamp,latest_closed_bar,direction,side,setup_id,setup_active,setup_age,raw_condition_ready,fresh_signal,already_seen,entry_ready,signal_state,reason,event_key,entry,sl,tp1,tp2,risk_pct,risk_amount,w2_swing,target_1_0,target_1_618,riskguard_accepted,riskguard_reason,riskguard_detail,riskguard_message
Forex Majors,enbolsa:macd_breakout,EURCAD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,461,True,143,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,1.61734,1.6116700000000002,1.6079311000000003,False,,,
Forex Majors,enbolsa:macd_breakout,EURCHF.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,359,True,162,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.90944,0.91524,0.9195351,False,,,
Forex Majors,enbolsa:macd_breakout,EURCHF.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,358,True,124,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,0.9127500000000001,0.9084054600000001,False,,,
Forex Majors,enbolsa:macd_breakout,EURGBP.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,348,True,117,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,0.8678899999999999,0.8715300199999999,False,,,
Forex Majors,enbolsa:macd_breakout,EURGBP.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,349,True,211,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,0.86773,0.85705,0.8501902,False,,,
Forex Majors,enbolsa:macd_breakout,EURJPY.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,1664,True,75,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,185.81,186.944648,False,,,
Forex Majors,enbolsa:macd_breakout,EURJPY.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,1664,True,252,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,186.151,185.337,184.80243,False,,,
Forex Majors,enbolsa:macd_breakout,EURNZD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,533,True,2,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,2.02087,2.04790132,False,,,
Forex Majors,enbolsa:macd_breakout,EURNZD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,534,True,125,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,1.9897399999999998,1.95987,1.94126202,False,,,
Forex Majors,enbolsa:macd_breakout,EURUSD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,1689,True,23,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.1544699999999999,1.1572509999999998,False,,,
Forex Majors,enbolsa:macd_breakout,EURUSD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,1690,True,48,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,1.16418,1.1563800000000002,1.1513618400000003,False,,,
Forex Majors,enbolsa:macd_breakout,GBPAUD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,547,True,110,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,1.87354,1.8854000000000002,1.8930323000000002,False,,,
Forex Majors,enbolsa:macd_breakout,GBPAUD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,546,True,70,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.8884800000000002,1.8835607200000002,False,,,
Forex Majors,enbolsa:macd_breakout,GBPCAD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,465,True,23,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,1.85531,1.8720600000000003,1.8832643400000004,False,,,
Forex Majors,enbolsa:macd_breakout,GBPCAD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,464,True,0,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,1.8478099999999997,1.8388551799999997,False,,,
Forex Majors,enbolsa:macd_breakout,GBPCHF.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,512,True,15,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,1.05352,1.05765,1.06020234,False,,,
Forex Majors,enbolsa:macd_breakout,GBPCHF.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,511,True,14,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.0549400000000002,1.0490010200000002,False,,,
Forex Majors,enbolsa:macd_breakout,GBPJPY.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,635,True,22,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,213.77900000000002,214.30306400000003,False,,,
Forex Majors,enbolsa:macd_breakout,GBPJPY.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,633,True,25,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,215.465,214.72299999999998,214.177924,False,,,
Forex Majors,enbolsa:macd_breakout,GBPNZD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,529,True,2,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,2.34659,2.3817233,False,,,
Forex Majors,enbolsa:macd_breakout,GBPNZD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,530,True,129,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,2.30265,2.26849,2.24712574,False,,,
Forex Majors,enbolsa:macd_breakout,GBPUSD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,615,True,23,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.3366399999999998,1.3403974399999998,False,,,
Forex Majors,enbolsa:macd_breakout,GBPUSD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,613,True,48,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,1.34741,1.34168,1.33761974,False,,,
Forex Majors,enbolsa:macd_breakout,NZDCAD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,558,True,38,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.80571,0.80796,0.81040728,False,,,
Forex Majors,enbolsa:macd_breakout,NZDCAD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,557,True,11,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,0.8011900000000001,0.7938728800000001,False,,,
Forex Majors,enbolsa:macd_breakout,NZDCHF.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,559,True,134,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.46034,0.46271999999999996,0.46576055999999993,False,,,
Forex Majors,enbolsa:macd_breakout,NZDCHF.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,559,True,11,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,0.45689,0.45216848000000004,False,,,
Forex Majors,enbolsa:macd_breakout,NZDJPY.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,588,True,122,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,92.59,94.252,95.359456,False,,,
Forex Majors,enbolsa:macd_breakout,NZDJPY.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,587,True,11,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,90.539,88.81045400000001,False,,,
Forex Majors,enbolsa:macd_breakout,NZDUSD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,603,True,34,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.57792,0.5803300000000001,0.5821592800000002,False,,,
Forex Majors,enbolsa:macd_breakout,NZDUSD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,602,True,11,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,0.57307,0.5665191999999999,False,,,
Forex Majors,enbolsa:macd_breakout,USDCAD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,423,True,165,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,1.37761,1.40551,1.42440226,False,,,
Forex Majors,enbolsa:macd_breakout,USDCAD.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,423,True,121,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.38608,1.38034496,False,,,
Forex Majors,enbolsa:macd_breakout,USDCHF.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,607,True,15,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,0.7931,0.80183,0.8075835800000001,False,,,
Forex Majors,enbolsa:macd_breakout,USDCHF.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,606,True,14,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,0.79535,0.7933106,False,,,
Forex Majors,enbolsa:macd_breakout,USDJPY,H1,H4,2026-03-17 09:00:00,True,1,BUY,1871,True,19,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,161.25599999999997,162.74723399999996,False,,,
Forex Majors,enbolsa:macd_breakout,USDJPY,H1,H4,2026-03-17 09:00:00,True,-1,SELL,1871,True,116,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,159.707,158.174,157.208684,False,,,
Metals,enbolsa:macd_breakout,XAGEUR.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,649,True,10,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,57.811,58.159,58.638568,False,,,
Metals,enbolsa:macd_breakout,XAGEUR.r,H1,H4,2026-06-08 14:00:00,True,-1,SELL,651,True,4,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,57.971000000000004,57.089114,False,,,
Metals,enbolsa:macd_breakout,XAGUSD.r,H1,H4,2026-06-08 14:00:00,True,1,BUY,926,True,10,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,66.592,67.15599999999999,67.78203399999998,False,,,
