label,status,elapsed_seconds,error,rows_returned
pair_summary_SPA35_H4,ok,0.1961,,1
gap_stats_SPA35_H4,ok,0.1286,,1
gap_examples_short_SPA35_H4,ok,0.1053,,3
gap_examples_session_SPA35_H4,ok,0.1332,,3
pair_summary_SPA35_D1,ok,0.0621,,1
gap_stats_SPA35_D1,ok,0.044,,1
gap_examples_short_SPA35_D1,ok,0.0397,,0
gap_examples_session_SPA35_D1,ok,0.0406,,3
pair_summary_UK100_M15,ok,4.5238,,1
gap_stats_UK100_M15,ok,2.7,,1
gap_examples_short_UK100_M15,ok,2.6572,,3
gap_examples_session_UK100_M15,ok,2.8052,,3
pair_summary_UK100_M30,ok,2.6125,,1
gap_stats_UK100_M30,ok,1.6493,,1
gap_examples_short_UK100_M30,ok,1.7791,,3
gap_examples_session_UK100_M30,ok,1.704,,3
pair_summary_UK100_H1,ok,1.196,,1
gap_stats_UK100_H1,ok,0.7714,,1
gap_examples_short_UK100_H1,ok,1.1008,,3
gap_examples_session_UK100_H1,ok,0.9715,,3
pair_summary_UK100_H4,ok,0.3803,,1
gap_stats_UK100_H4,ok,0.1979,,1
gap_examples_short_UK100_H4,ok,0.2448,,3
gap_examples_session_UK100_H4,ok,0.2746,,3
pair_summary_UK100_D1,ok,0.0849,,1
gap_stats_UK100_D1,ok,0.0405,,1
gap_examples_short_UK100_D1,ok,0.0442,,0
gap_examples_session_UK100_D1,ok,0.0498,,3
pair_summary_US100_M15,ok,4.1217,,1
gap_stats_US100_M15,ok,2.364,,1
gap_examples_short_US100_M15,ok,2.2121,,3
gap_examples_session_US100_M15,ok,2.4733,,3
pair_summary_US100_M30,ok,2.2753,,1
gap_stats_US100_M30,ok,1.9752,,1
gap_examples_short_US100_M30,ok,1.8168,,3
gap_examples_session_US100_M30,ok,2.1118,,3
pair_summary_US100_H1,ok,1.7805,,1
gap_stats_US100_H1,ok,0.9548,,1
gap_examples_short_US100_H1,ok,0.9474,,3
gap_examples_session_US100_H1,ok,0.8732,,3
pair_summary_US100_H4,ok,0.4851,,1
gap_stats_US100_H4,ok,0.26,,1
gap_examples_short_US100_H4,ok,0.2922,,3
gap_examples_session_US100_H4,ok,0.2593,,3
pair_summary_US100_D1,ok,0.0715,,1
