symbol,group,group_normalized,timeframe,expected_minutes,summary_status,summary_error,duplicate_check_mode,duplicate_count,rows_count,first_time,last_time,minutes_since_last,latest_closed_like,stale_for_live,null_ohlc,null_tick_volume,null_spread,null_real_volume,nonpositive_ohlc,bad_ohlc,nan_like_ohlc,negative_volume_spread,misaligned_time,gap_status,gap_error,gap_count,short_gap_count,session_gap_count,max_gap_minutes
JP225,Index,Index,H4,240,ok,,unique_index,0,9315,2020-02-28 00:00:00,2026-03-17 04:00:00,88304.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,355,39,316,7440
JP225,Index,Index,D1,1440,ok,,unique_index,0,1559,2020-02-28 00:00:00,2026-03-16 00:00:00,89984.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,319,0,319,8640
SPA35,Index,Index,M15,15,ok,,unique_index,0,57701,2021-05-26 09:00:00,2026-03-16 21:45:00,88679.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1243,990,253,6855
SPA35,Index,Index,M30,30,ok,,unique_index,0,28862,2021-05-26 09:00:00,2026-03-16 21:30:00,88694.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1236,983,253,6870
SPA35,Index,Index,H1,60,ok,,unique_index,0,14438,2021-05-26 09:00:00,2026-03-16 21:00:00,88724.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1233,980,253,6900
SPA35,Index,Index,H4,240,ok,,unique_index,0,4901,2021-05-26 08:00:00,2026-03-16 20:00:00,88784.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1227,974,253,6960
SPA35,Index,Index,D1,1440,ok,,unique_index,0,1228,2021-05-26 00:00:00,2026-03-16 00:00:00,89984.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,257,0,257,7200
UK100,Index,Index,M15,15,ok,,unique_index,0,103161,2021-09-15 16:45:00,2026-03-17 10:00:00,87944.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1151,916,235,7815
UK100,Index,Index,M30,30,ok,,unique_index,0,67187,2020-02-28 03:00:00,2026-03-17 09:30:00,87974.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1532,1216,316,7830
UK100,Index,Index,H1,60,ok,,unique_index,0,33606,2020-02-28 03:00:00,2026-03-17 09:00:00,88004.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1526,1210,316,7860
UK100,Index,Index,H4,240,ok,,unique_index,0,9094,2020-02-28 00:00:00,2026-03-17 04:00:00,88304.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,342,26,316,7920
UK100,Index,Index,D1,1440,ok,,unique_index,0,1525,2020-02-28 00:00:00,2026-03-16 00:00:00,89984.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,318,0,318,8640
US100,Index,Index,M15,15,ok,,unique_index,0,103149,2021-10-27 17:15:00,2026-03-17 10:00:00,87944.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1197,968,229,5835
US100,Index,Index,M30,30,ok,,unique_index,0,71189,2020-02-28 01:00:00,2026-03-17 09:30:00,87974.82369866666,True,True,0,0,0,0,0,0,0,0,0,ok,,1588,1272,316,5850
