example_id,group,symbol,timeframe,timestamp,open,high,low,close,ema_50,ema_150,ema_alignment,trend_state,transition_state,price_vs_ema_band,ema50_slope,ema150_slope,ema50_slope_pct,ema150_slope_pct,ema_separation_pct,ema_band_width_pct,ema_band_state,ewo_5_35,ewo_5_35_slope,ewo_5_35_direction,ewo_5_35_expanding,possible_momentum_confirmation,possible_momentum_loss,htf_ema_alignment,htf_trend_state,htf_transition_state,htf_price_vs_ema_band,htf_ema50_slope_pct,htf_ema150_slope_pct,htf_ema_separation_pct,htf_ema_band_width_pct,htf_ema_band_state,htf_ewo_5_35,htf_ewo_5_35_slope,htf_ewo_5_35_direction,htf_ewo_5_35_expanding,htf_possible_momentum_confirmation,htf_possible_momentum_loss,htf_context_source_time,htf_timeframe,htf_lookahead_safe
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-21 08:00:00,1871.3,1879.8,1842.79,1861.46,1810.2902157246392,1731.507997182487,bullish_alignment,bullish_alignment,no_transition,above_band,7.050690645045506,5.4728116680066705,0.0037877207380472887,0.0029400640722909276,0.04232281034357554,0.04232281034357554,expanding,43.11857142857161,10.429428571428843,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.013803565437474139,0.00940750724546182,0.12259814139344954,0.12259814139344954,expanding,156.3192857142858,-52.06071428571431,positive,False,False,True,2026-01-20,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-21 12:00:00,1861.45,1869.39,1831.92,1864.3,1812.4082464805356,1733.2668316568913,bullish_alignment,bullish_alignment,no_transition,above_band,6.782036109945693,5.402973102867463,0.00363784589923601,0.0028981242841106384,0.04245100832679518,0.04245100832679518,expanding,43.136285714285805,2.4245714285714257,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.013803565437474139,0.00940750724546182,0.12259814139344954,0.12259814139344954,expanding,156.3192857142858,-52.06071428571431,positive,False,False,True,2026-01-20,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-21 16:00:00,1864.5,1882.54,1837.1,1854.3,1814.0510603440441,1734.8699199793168,bullish_alignment,bullish_alignment,no_transition,above_band,5.849407242889129,5.106244982299813,0.003154509649403618,0.0027537318569270416,0.042701364592960846,0.042701364592960846,expanding,43.13814285714329,-0.5431428571423567,positive,False,False,True,bullish_alignment,bullish_alignment,no_transition,above_band,0.013803565437474139,0.00940750724546182,0.12259814139344954,0.12259814139344954,expanding,156.3192857142858,-52.06071428571431,positive,False,False,True,2026-01-20,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-21 20:00:00,1854.5,1868.1,1822.79,1838.6,1815.013763859964,1736.2438283239617,bullish_alignment,bullish_alignment,no_transition,above_band,4.723548135324791,4.735831141474591,0.0025691004760822313,0.0025757811059907492,0.042842345010335216,0.042842345010335216,expanding,38.18085714285712,-4.937714285714492,positive,False,False,True,bullish_alignment,bullish_alignment,no_transition,above_band,0.013803565437474139,0.00940750724546182,0.12259814139344954,0.12259814139344954,expanding,156.3192857142858,-52.06071428571431,positive,False,False,True,2026-01-20,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-22 00:00:00,1807.19,1835.72,1790.0,1829.87,1815.5963613556517,1737.4839100680151,bullish_alignment,bullish_alignment,no_transition,above_band,3.188114875116071,4.217078411123794,0.0017422630433397296,0.0023045781455096775,0.04268743205125858,0.04268743205125858,expanding,29.00185714285726,-14.134428571428543,positive,False,False,True,bullish_alignment,bullish_alignment,no_transition,above_band,0.014348121082794828,0.009726990124071534,0.1259328115802554,0.1259328115802554,expanding,147.23100000000022,-43.96557142857114,positive,False,False,True,2026-01-21,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-22 04:00:00,1829.88,1844.6,1818.63,1844.6,1816.7337589495476,1738.9026662260546,bullish_alignment,bullish_alignment,no_transition,above_band,2.6826986055034467,4.0327462467378155,0.0014543524913279014,0.0021862443059404834,0.04219402186029109,0.04219402186029109,compressing,24.29714285714317,-18.841000000000122,positive,False,False,True,bullish_alignment,bullish_alignment,no_transition,above_band,0.014348121082794828,0.009726990124071534,0.1259328115802554,0.1259328115802554,expanding,147.23100000000022,-43.96557142857114,positive,False,False,True,2026-01-21,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-22 08:00:00,1844.6,1862.23,1837.69,1858.81,1818.3838076181928,1740.490842832332,bullish_alignment,bullish_alignment,no_transition,above_band,3.370043758228803,4.247014508370285,0.0018130114203327953,0.002284802916043213,0.04190474808391435,0.04190474808391435,compressing,24.29885714285706,-13.882000000000062,positive,False,False,True,bullish_alignment,bullish_alignment,no_transition,above_band,0.014348121082794828,0.009726990124071534,0.1259328115802554,0.1259328115802554,expanding,147.23100000000022,-43.96557142857114,positive,False,False,True,2026-01-21,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-22 12:00:00,1858.81,1864.1,1839.61,1863.85,1820.1667955547343,1742.1247389537582,bullish_alignment,bullish_alignment,no_transition,above_band,4.570434199082683,4.640828885743076,0.002452147007045998,0.002489915436190185,0.041871425598077175,0.041871425598077175,compressing,22.294285714285934,-6.7075714285713275,positive,False,False,True,bullish_alignment,bullish_alignment,no_transition,above_band,0.014348121082794828,0.009726990124071534,0.1259328115802554,0.1259328115802554,expanding,147.23100000000022,-43.96557142857114,positive,False,False,True,2026-01-21,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-22 16:00:00,1863.84,1893.3,1843.1,1890.6,1822.9288820035683,1744.0912987027152,bullish_alignment,bullish_alignment,no_transition,above_band,6.195123054020769,5.188632476660587,0.0032768026309218075,0.0027444369388874364,0.041699769015578717,0.041699769015578717,compressing,26.077714285714137,1.7805714285709655,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.014348121082794828,0.009726990124071534,0.1259328115802554,0.1259328115802554,expanding,147.23100000000022,-43.96557142857114,positive,False,False,True,2026-01-21,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-22 20:00:00,1890.5,1930.07,1887.0,1902.13,1826.0348081995069,1746.1845265344675,bullish_alignment,bullish_alignment,no_transition,above_band,7.651000581314065,5.693683702135559,0.0040223331640392955,0.0029933199634807075,0.04197940291412224,0.04197940291412224,expanding,43.03771428571417,18.738857142857114,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.014348121082794828,0.009726990124071534,0.1259328115802554,0.1259328115802554,expanding,147.23100000000022,-43.96557142857114,positive,False,False,True,2026-01-21,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-23 00:00:00,1878.7,1944.39,1877.89,1903.5,1829.07265885835,1748.2681751896403,bullish_alignment,bullish_alignment,no_transition,above_band,8.90586330361566,6.143436235882064,0.004678677858479465,0.003227442204298431,0.04245047736732847,0.04245047736732847,expanding,55.43271428571393,33.138428571427994,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.015135790658197111,0.00988916664206512,0.12377806411528709,0.12377806411528709,compressing,147.13285714285712,-21.65285714285733,positive,False,False,True,2026-01-22,D1,True
metals_xpdusd_h4,Metals,XPDUSD,H4,2026-01-23 04:00:00,1903.5,1919.39,1885.71,1913.69,1832.3909859619441,1750.4591927367974,bullish_alignment,bullish_alignment,no_transition,above_band,9.462103958375792,6.3678940340821555,0.004944428804234641,0.0033275473217094487,0.04281351380063999,0.04281351380063999,expanding,62.71999999999957,36.642285714285435,positive,True,True,False,bullish_alignment,bullish_alignment,no_transition,above_band,0.015135790658197111,0.00988916664206512,0.12377806411528709,0.12377806411528709,compressing,147.13285714285712,-21.65285714285733,positive,False,False,True,2026-01-22,D1,True
