Group,strategy,symbol,timeframe_ltf,timeframe_htf,timestamp,latest_closed_bar,direction,side,setup_id,setup_active,setup_age,raw_condition_ready,fresh_signal,already_seen,entry_ready,signal_state,reason,event_key,entry,sl,tp1,tp2,risk_pct,risk_amount,w2_swing,target_1_0,target_1_618,riskguard_accepted,riskguard_reason,riskguard_detail,riskguard_message
Index,enbolsa:macd_breakout,US100,H4,D1,2026-06-08 08:00:00,True,1,BUY,225,True,11,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,30678.77,31856.25776,False,,,
Index,enbolsa:macd_breakout,US100,H4,D1,2026-06-08 08:00:00,True,-1,SELL,225,True,75,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,30728.07,29972.9,29465.058500000003,False,,,
Index,enbolsa:macd_breakout,US30,H4,D1,2026-06-08 08:00:00,True,1,BUY,212,True,3,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,51600.3,52191.355200000005,False,,,
Index,enbolsa:macd_breakout,US30,H4,D1,2026-06-08 08:00:00,True,-1,SELL,212,True,11,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,51703.3,51167.8,50754.976,False,,,
Index,enbolsa:macd_breakout,US500,H4,D1,2026-06-08 08:00:00,True,1,BUY,220,True,14,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,7630.14,7798.83546,False,,,
Index,enbolsa:macd_breakout,US500,H4,D1,2026-06-08 08:00:00,True,-1,SELL,220,True,73,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,7626.1,7474.38,7378.29954,False,,,
Forex Majors,enbolsa:macd_breakout,AUDCAD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,160,True,5,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,0.99565,1.00703356,False,,,
Forex Majors,enbolsa:macd_breakout,AUDCAD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,159,True,76,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.99408,0.9757899999999999,0.9638749599999998,False,,,
Forex Majors,enbolsa:macd_breakout,AUDJPY.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,171,True,7,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,114.342,115.63053,False,,,
Forex Majors,enbolsa:macd_breakout,AUDJPY.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,170,True,61,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,114.85,113.072,111.934262,False,,,
Forex Majors,enbolsa:macd_breakout,AUDNZD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,117,True,49,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,1.19875,1.2093,1.2168272400000002,False,,,
Forex Majors,enbolsa:macd_breakout,AUDNZD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,118,True,29,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,1.1877499999999999,1.1698959799999997,False,,,
Forex Majors,enbolsa:macd_breakout,AUDUSD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,165,True,13,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,0.7090399999999999,0.7142682799999999,False,,,
Forex Majors,enbolsa:macd_breakout,AUDUSD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,164,True,40,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.71888,0.71291,0.7085036600000001,False,,,
Forex Majors,enbolsa:macd_breakout,CADCHF.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,133,True,68,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.56484,0.57313,0.57837682,False,,,
Forex Majors,enbolsa:macd_breakout,CADCHF.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,132,True,28,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,0.5626,0.5567042799999999,False,,,
Forex Majors,enbolsa:macd_breakout,CADJPY.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,174,True,62,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,115.823,116.63134399999998,False,,,
Forex Majors,enbolsa:macd_breakout,CADJPY.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,172,True,99,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,115.725,114.26599999999999,113.33467399999999,False,,,
Forex Majors,enbolsa:macd_breakout,CHFJPY.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,160,True,18,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,204.143,206.50005199999998,False,,,
Forex Majors,enbolsa:macd_breakout,CHFJPY.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,158,True,125,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,203.81,202.499,201.447164,False,,,
Forex Majors,enbolsa:macd_breakout,EURAUD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,668,True,76,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,1.6193499999999998,1.6408199999999997,1.6550525399999996,False,,,
Forex Majors,enbolsa:macd_breakout,EURAUD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,669,True,7,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.6214299999999997,1.6113565999999995,False,,,
Forex Majors,enbolsa:macd_breakout,EURCAD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,147,True,4,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,1.61905,1.6322443,False,,,
Forex Majors,enbolsa:macd_breakout,EURCAD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,148,True,63,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,1.61627,1.6008100000000003,1.5903596200000005,False,,,
Forex Majors,enbolsa:macd_breakout,EURCHF.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,151,True,38,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.90944,0.9150600000000001,0.9192438600000001,False,,,
Forex Majors,enbolsa:macd_breakout,EURCHF.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,150,True,29,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,0.91293,0.9086967,False,,,
Forex Majors,enbolsa:macd_breakout,EURGBP.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,133,True,26,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,0.86722,0.87044596,False,,,
Forex Majors,enbolsa:macd_breakout,EURGBP.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,133,True,48,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,0.86709,0.85733,0.85064324,False,,,
Forex Majors,enbolsa:macd_breakout,EURJPY.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,743,True,3,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,187.113,189.05290200000002,False,,,
Forex Majors,enbolsa:macd_breakout,EURJPY.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,742,True,123,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,186.151,181.319,178.30130599999998,False,,,
Forex Majors,enbolsa:macd_breakout,EURNZD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,141,True,47,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,1.946,1.9586199999999998,1.9684956399999998,False,,,
Forex Majors,enbolsa:macd_breakout,EURNZD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,142,True,28,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,1.94377,1.91521222,False,,,
Forex Majors,enbolsa:macd_breakout,EURUSD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,670,True,100,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.16279,1.17039758,False,,,
Forex Majors,enbolsa:macd_breakout,EURUSD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,670,True,155,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,1.17832,1.1621700000000001,1.1513488200000002,False,,,
Forex Majors,enbolsa:macd_breakout,GBPAUD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,140,True,68,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,1.8691499999999999,1.9012,1.9210069,False,,,
Forex Majors,enbolsa:macd_breakout,GBPAUD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,139,True,16,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.87788,1.86640992,False,,,
Forex Majors,enbolsa:macd_breakout,GBPCAD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,142,True,44,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,1.85145,1.8818200000000003,1.9022016400000004,False,,,
Forex Majors,enbolsa:macd_breakout,GBPCAD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,142,True,29,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.8578999999999999,1.8502058999999997,False,,,
Forex Majors,enbolsa:macd_breakout,GBPCHF.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,150,True,3,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,1.05352,1.06808,1.07707808,False,,,
Forex Majors,enbolsa:macd_breakout,GBPCHF.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,149,True,2,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.0544300000000002,1.0484910200000002,False,,,
Forex Majors,enbolsa:macd_breakout,GBPJPY.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,167,True,3,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,217.247,219.91058,False,,,
Forex Majors,enbolsa:macd_breakout,GBPJPY.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,166,True,88,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,215.367,212.28599999999997,210.23485799999997,False,,,
Forex Majors,enbolsa:macd_breakout,GBPNZD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,139,True,49,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,2.2458,2.28221,2.30738114,False,,,
Forex Majors,enbolsa:macd_breakout,GBPNZD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,140,True,28,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,2.24303,2.2059314600000004,False,,,
Forex Majors,enbolsa:macd_breakout,GBPUSD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,170,True,4,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.34021,1.3460500999999998,False,,,
Forex Majors,enbolsa:macd_breakout,GBPUSD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,168,True,34,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,1.34717,1.33585,1.3280323,False,,,
Forex Majors,enbolsa:macd_breakout,NZDCAD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,137,True,32,False,False,False,False,watching_setup,missing_w2_swing,,,,,,,,,0.8296,0.8454208,False,,,
Forex Majors,enbolsa:macd_breakout,NZDCAD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,136,True,76,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.82643,0.8205800000000001,0.8165012000000001,False,,,
Forex Majors,enbolsa:macd_breakout,NZDCHF.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,140,True,15,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,0.46759999999999996,0.4736563999999999,False,,,
Forex Majors,enbolsa:macd_breakout,NZDCHF.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,139,True,47,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.46792,0.46164000000000005,0.45743760000000006,False,,,
Forex Majors,enbolsa:macd_breakout,NZDJPY.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,165,True,28,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,95.247,96.96936600000001,False,,,
Forex Majors,enbolsa:macd_breakout,NZDJPY.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,164,True,69,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,95.343,94.052,93.20966600000001,False,,,
Forex Majors,enbolsa:macd_breakout,NZDUSD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,169,True,28,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,0.59419,0.6045847599999999,False,,,
Forex Majors,enbolsa:macd_breakout,NZDUSD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,168,True,76,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.59895,0.58369,0.5739812200000001,False,,,
Forex Majors,enbolsa:macd_breakout,USDCAD.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,141,True,39,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,1.37795,1.4047100000000001,1.4231078600000002,False,,,
Forex Majors,enbolsa:macd_breakout,USDCAD.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,141,True,23,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,1.3870200000000001,1.3819524,False,,,
Forex Majors,enbolsa:macd_breakout,USDCHF.r,H4,D1,2026-06-08 08:00:00,True,1,BUY,176,True,40,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,0.78006,0.78713,0.79237682,False,,,
Forex Majors,enbolsa:macd_breakout,USDCHF.r,H4,D1,2026-06-08 08:00:00,True,-1,SELL,175,True,28,False,False,False,False,watching_setup,setup_invalidated,,,,,,,,,0.78864,0.78278136,False,,,
Forex Majors,enbolsa:macd_breakout,USDJPY,H4,D1,2026-03-17 04:00:00,True,1,BUY,746,True,154,False,False,False,False,watching_setup,waiting_for_trendline_and_macd_confirmation,,,,,,,,152.631,157.44500000000002,160.64809400000004,False,,,
