chart_layer_id,setup_id,symbol,timeframe,layer_type,label,price,start_price,end_price,start_time,end_time,color,style,source,is_operational
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,fibonacci_1_272,Fib ext 1.272,111.7217,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,fibonacci_1_618,Fib ext 1.618,111.04078,,,2026-05-22 19:00:00,2026-06-08 14:00:00,#8f6bd1,dot,fibonacci_context_v1,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,macd_w1_leg,W1 estudio,,114.868,112.539,2026-06-03 09:00:00,2026-06-08 03:00:00,#58e6d3,solid,w1_start_price|w1_end_price,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,macd_w2_directrix,Reg W2 lows estudio,,112.83559999999994,113.28770000000026,2026-06-08 03:00:00,2026-06-08 14:00:00,#5ce0ca,dash,w2_low_regression_projected,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,macd_breakout_level,Ruptura estudio,113.00000000000006,113.00000000000006,113.00000000000006,2026-06-08 03:00:00,2026-06-08 12:08:22.499286+00:00,#ffd166,dash,breakout_level,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,macd_sl_study,SL estudio,114.868,114.868,114.868,2026-06-08 03:00:00,2026-06-08 12:08:22.499286+00:00,#ff6b6b,dot,sl_study,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,macd_tp1_study,TP1 estudio,110.874,110.874,110.874,2026-06-08 03:00:00,2026-06-08 12:08:22.499286+00:00,#75d7ff,dot,tp1_study,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,macd_tp2_study,TP2 estudio,109.43467800000002,109.43467800000002,109.43467800000002,2026-06-08 03:00:00,2026-06-08 12:08:22.499286+00:00,#75d7ff,dot,tp2_study,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,macd_recent_breakout_marker,Ruptura reciente,113.00000000000006,,,,,#f7f7f7,marker,last_breakout_time|breakout_level,False
trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H1|macd_breakout|637,AUDJPY.r,H1,macd_current_price_marker,Precio actual,113.091,,,,,#f7f7f7,marker,close,False
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,r2,R2 previo,114.757,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|AUDJPY.r|H4|macd_breakout|170,AUDJPY.r,H4,r3,R3 previo,115.289,,,2026-02-11 07:00:00,2026-06-08 14:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
