selection_order,candidate_id,source_scope,group,symbol,timeframe,swing_degree,direction,review_category,matches_guided_impulse_profile,matches_h1_h4_aux_profile,visual_expansion_status,visual_aux_status,near_miss_reason,scale_fit_label,ewo_helpfulness,ema_htf_helpfulness,chart_path,prominence_policy_label,prominence_score_delta,prominence_warning,should_downgrade_to_auxiliary,should_exclude_for_low_prominence,prominence_policy_reason,ewo_policy_label,ewo_soft_support,ewo_score_delta,ewo_warning,ewo_role_reason,ewo_svm_future_feature_candidate,ema_htf_policy_label,ema_htf_soft_support,ema_htf_score_delta,ema_band_warning,htf_conflict_warning,context_must_not_rescue_bad_count,ema_htf_policy_reason,structural_quality_policy,final_soft_quality_score,final_soft_quality_bucket,policy_reasons,policy_warnings,ready_for_next_expansion,selection_reasons,reviewed_chart_path,chart_exists
27,partial_123_exp252_forex_audjpy_h4_minor_partial123_004,h4_d1,Forex Majors,AUDJPY.r,H4,minor,bullish,partial_123,no,,not_usable,,,not_applicable,unclear,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\020_partial_123_exp252_forex_audjpy_h4_minor_partial123_004.png,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1117,False,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1117; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,partial_123_is_provisional_context_only; minor is substructure; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,no,clear_negative_low_score_control,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\027_020_partial_123_exp252_forex_audjpy_h4_minor_partial123_004.png,True
28,partial_123_exp252_index_aus200_h4_intermediate_partial123_001,h4_d1,Index,AUS200,H4,intermediate,bullish,partial_123,no,,not_usable,,,not_applicable,unclear,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\015_partial_123_exp252_index_aus200_h4_intermediate_partial123_001.png,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=6.54,False,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; degree=intermediate; no prominence penalty available for this structure; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=6.54; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,partial_123_is_provisional_context_only; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,no,excluded_context_must_not_rescue_bad_count; clear_negative_low_score_control,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\028_015_partial_123_exp252_index_aus200_h4_intermediate_partial123_001.png,True
29,partial_123_exp252_index_aus200_h4_minor_partial123_001,h4_d1,Index,AUS200,H4,minor,bullish,partial_123,no,,not_usable,,,not_applicable,unclear,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=6.54,False,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; no prominence penalty available for this structure; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=6.54; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,partial_123_is_provisional_context_only; minor is substructure; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,no,excluded_context_must_not_rescue_bad_count; clear_negative_low_score_control,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\029_019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png,True
30,partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002,h4_d1,Metals,XAGUSD.r,H4,intermediate,bullish,partial_123,no,,not_usable,,,not_applicable,unclear,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.5657,False,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; degree=intermediate; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.5657; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,partial_123_is_provisional_context_only; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,no,excluded_context_must_not_rescue_bad_count; clear_negative_low_score_control,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\030_014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png,True
31,partial_123_exp252_metals_xagusd_h4_minor_partial123_002,h4_d1,Metals,XAGUSD.r,H4,minor,bullish,partial_123,no,,not_usable,,,not_applicable,unclear,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\018_partial_123_exp252_metals_xagusd_h4_minor_partial123_002.png,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.19,False,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.19; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,partial_123_is_provisional_context_only; minor is substructure; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,no,excluded_context_must_not_rescue_bad_count,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\031_018_partial_123_exp252_metals_xagusd_h4_minor_partial123_002.png,True
32,impulse_exp252_forex_audjpy_h4_intermediate_impulse_002,h4_d1,Forex Majors,AUDJPY.r,H4,intermediate,bullish,impulse,yes,,strong_match,,,acceptable_for_timeframe,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\matches\005_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png,acceptable_for_timeframe,4,,False,False,structure size is acceptable for the reviewed timeframe,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1939,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,high_quality_structure,100,high_quality_structure,structure=impulse; H4/D1 primary scope; degree=intermediate; H4/D1 profile match=yes; visual_status=strong_match; structure size is acceptable for the reviewed timeframe; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1939; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,,yes,all_high_quality_structure,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\032_005_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png,True
33,impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007,h4_d1,Forex Majors,EURJPY.r,H4,intermediate,bullish,impulse,yes,,strong_match,,,ambiguous_scale,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\matches\008_impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007.png,ambiguous_scale,-7,scale is ambiguous,False,False,scale diagnostic is ambiguous; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.05803,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,usable_provisional_structure,100,usable_provisional_structure,structure=impulse; H4/D1 primary scope; degree=intermediate; H4/D1 profile match=yes; visual_status=strong_match; scale diagnostic is ambiguous; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.05803; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,scale is ambiguous,yes_with_manual_spot_check,all_usable_provisional_structure,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\033_008_impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007.png,True
34,impulse_exp252_forex_eurusd_h4_major_impulse_016,h4_d1,Forex Majors,EURUSD.r,H4,major,bullish,impulse,near_miss,,near_miss_useful,,higher_degree_context,acceptable_for_timeframe,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\009_impulse_exp252_forex_eurusd_h4_major_impulse_016.png,acceptable_for_timeframe,4,,False,False,structure size is acceptable for the reviewed timeframe,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.0007587,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,usable_provisional_structure,85,usable_provisional_structure,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; structure size is acceptable for the reviewed timeframe; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.0007587; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,major is higher-degree context; H4/D1 near_miss stays provisional,yes_with_manual_spot_check,all_usable_provisional_structure,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\034_009_impulse_exp252_forex_eurusd_h4_major_impulse_016.png,True
35,impulse_exp252_metals_xagusd_h4_intermediate_impulse_002,h4_d1,Metals,XAGUSD.r,H4,intermediate,bullish,impulse,yes,,strong_match,,,too_small_for_timeframe,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\matches\006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png,low_prominence_vs_window,-24,count is too small or short relative to visible window,True,False,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.001086,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,usable_provisional_structure,84,usable_provisional_structure,structure=impulse; H4/D1 primary scope; degree=intermediate; H4/D1 profile match=yes; visual_status=strong_match; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.001086; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,count is too small or short relative to visible window,yes_with_manual_spot_check,all_usable_provisional_structure,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\035_006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png,True
36,impulse_exp252_index_aus200_h4_major_impulse_016,h4_d1,Index,AUS200,H4,major,bearish,impulse,near_miss,,near_miss_useful,,higher_degree_context,acceptable_for_timeframe,supports_wave_role,explains_correction,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\011_impulse_exp252_index_aus200_h4_major_impulse_016.png,acceptable_for_timeframe,4,,False,False,structure size is acceptable for the reviewed timeframe,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-13.55,True,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,usable_provisional_structure,75,usable_provisional_structure,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; structure size is acceptable for the reviewed timeframe; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-13.55; input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,major is higher-degree context; H4/D1 near_miss stays provisional; htf_conflict_warning,yes_with_manual_spot_check,all_usable_provisional_structure,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\036_011_impulse_exp252_index_aus200_h4_major_impulse_016.png,True
37,impulse_exp252_metals_xagusd_h4_major_impulse_002,h4_d1,Metals,XAGUSD.r,H4,major,bullish,impulse,near_miss,,near_miss_useful,,higher_degree_context,ambiguous_scale,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\010_impulse_exp252_metals_xagusd_h4_major_impulse_002.png,ambiguous_scale,-11,scale is ambiguous,False,False,scale diagnostic is ambiguous; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1927,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,usable_provisional_structure,70,usable_provisional_structure,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; scale diagnostic is ambiguous; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1927; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,major is higher-degree context; H4/D1 near_miss stays provisional; scale is ambiguous,yes_with_manual_spot_check,all_usable_provisional_structure,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\037_010_impulse_exp252_metals_xagusd_h4_major_impulse_002.png,True
