market_group,symbol,timeframe,timestamp,open,high,low,close,tick_volume,spread,real_volume
Forex Majors,AUDJPY.r,H1,2026-06-04 11:00:00,114.007,114.047,113.943,113.995,3641,1,0
Forex Majors,AUDJPY.r,H1,2026-06-04 12:00:00,113.995,114.076,113.958,114.032,3750,1,0
Forex Majors,AUDJPY.r,H1,2026-06-04 13:00:00,114.032,114.116,114.014,114.051,3139,2,0
Forex Majors,AUDJPY.r,H1,2026-06-04 14:00:00,114.053,114.197,114.049,114.173,3910,3,0
Forex Majors,AUDJPY.r,H1,2026-06-04 15:00:00,114.173,114.203,114.081,114.147,4338,3,0
Forex Majors,AUDJPY.r,H1,2026-06-04 16:00:00,114.147,114.246,114.135,114.215,4840,1,0
Forex Majors,AUDJPY.r,H1,2026-06-04 17:00:00,114.217,114.233,114.128,114.217,4457,2,0
Forex Majors,AUDJPY.r,H1,2026-06-04 18:00:00,114.218,114.249,114.167,114.232,3577,3,0
Forex Majors,AUDJPY.r,H1,2026-06-04 19:00:00,114.232,114.248,114.197,114.206,2893,4,0
Forex Majors,AUDJPY.r,H1,2026-06-04 20:00:00,114.205,114.229,114.188,114.208,2557,2,0
Forex Majors,AUDJPY.r,H1,2026-06-04 21:00:00,114.21,114.222,114.175,114.188,2540,3,0
Forex Majors,AUDJPY.r,H1,2026-06-04 22:00:00,114.187,114.199,114.149,114.173,2629,3,0
Forex Majors,AUDJPY.r,H1,2026-06-04 23:00:00,114.172,114.177,114.128,114.128,1915,3,0
Forex Majors,AUDJPY.r,H1,2026-06-05 00:00:00,114.023,114.177,113.987,114.063,600,22,0
Forex Majors,AUDJPY.r,H1,2026-06-05 01:00:00,114.053,114.146,114.053,114.126,1072,4,0
Forex Majors,AUDJPY.r,H1,2026-06-05 02:00:00,114.127,114.159,114.051,114.075,1549,3,0
Forex Majors,AUDJPY.r,H1,2026-06-05 03:00:00,114.066,114.066,113.931,113.934,3808,3,0
Forex Majors,AUDJPY.r,H1,2026-06-05 04:00:00,113.934,113.944,113.642,113.871,4293,2,0
Forex Majors,AUDJPY.r,H1,2026-06-05 05:00:00,113.871,114.012,113.84,113.979,3310,1,0
Forex Majors,AUDJPY.r,H1,2026-06-05 06:00:00,113.979,114.023,113.899,113.916,2914,3,0
Forex Majors,AUDJPY.r,H1,2026-06-05 07:00:00,113.915,114.042,113.909,114.003,2746,2,0
Forex Majors,AUDJPY.r,H1,2026-06-05 08:00:00,114.002,114.02,113.852,113.874,2754,3,0
Forex Majors,AUDJPY.r,H1,2026-06-05 09:00:00,113.874,113.966,113.809,113.945,3614,2,0
Forex Majors,AUDJPY.r,H1,2026-06-05 10:00:00,113.94,114.094,113.937,114.039,3665,2,0
Forex Majors,AUDJPY.r,H1,2026-06-05 11:00:00,114.039,114.143,114.03,114.041,3141,2,0
Forex Majors,AUDJPY.r,H1,2026-06-05 12:00:00,114.041,114.18,114.034,114.156,3379,1,0
Forex Majors,AUDJPY.r,H1,2026-06-05 13:00:00,114.157,114.225,114.145,114.187,2734,1,0
Forex Majors,AUDJPY.r,H1,2026-06-05 14:00:00,114.182,114.215,114.128,114.154,3148,2,0
Forex Majors,AUDJPY.r,H1,2026-06-05 15:00:00,114.154,114.169,113.776,113.787,4997,1,0
Forex Majors,AUDJPY.r,H1,2026-06-05 16:00:00,113.79,113.817,113.394,113.401,6066,1,0
Forex Majors,AUDJPY.r,H1,2026-06-05 17:00:00,113.4,113.476,113.199,113.475,5953,2,0
Forex Majors,AUDJPY.r,H1,2026-06-05 18:00:00,113.475,113.49,113.088,113.11,5107,1,0
Forex Majors,AUDJPY.r,H1,2026-06-05 19:00:00,113.109,113.154,112.993,113.153,4979,2,0
Forex Majors,AUDJPY.r,H1,2026-06-05 20:00:00,113.15,113.168,113.04,113.091,4663,3,0
Forex Majors,AUDJPY.r,H1,2026-06-05 21:00:00,113.091,113.095,112.766,112.805,4703,1,0
