partial_id,example_id,group,symbol,timeframe,example_type,swing_degree,diagnostic_type,partial_status,direction,start_pivot_id,end_pivot_id,start_time,end_time,partial_detected_at,max_structural_detected_at_used,lookahead_safe,hard_reasons,soft_reasons,failure_reasons,wave1_length,wave2_retrace_of_wave1,wave3_length,wave3_extension_of_wave1
forex_clean_eurusd_h1_minor_partial123_009,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bullish,9,12,2026-03-06 16:00:00,2026-03-09 08:00:00,2026-03-09 11:00:00,2026-03-09 11:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.007549999999999946,1.517880794702001,0.006450000000000067,0.8543046357616044
forex_clean_eurusd_h1_minor_partial123_010,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bearish,10,13,2026-03-06 20:00:00,2026-03-09 17:00:00,2026-03-09 20:00:00,2026-03-09 20:00:00,True,wave 3 does not exceed wave 1 extreme,,wave 3 does not exceed wave 1 extreme,0.011460000000000026,0.5628272251308947,0.0023800000000000487,0.20767888307155702
forex_clean_eurusd_h1_minor_partial123_011,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_candidate,bullish,11,14,2026-03-09 04:00:00,2026-03-10 01:00:00,2026-03-10 04:00:00,2026-03-10 04:00:00,True,,,,0.006450000000000067,0.36899224806201925,0.009789999999999965,1.51782945736432
forex_clean_eurusd_h1_minor_partial123_012,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bearish,12,15,2026-03-09 08:00:00,2026-03-10 07:00:00,2026-03-10 10:00:00,2026-03-10 10:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.0023800000000000487,4.1134453781511615,0.0038599999999999746,1.6218487394957544
forex_clean_eurusd_h1_minor_partial123_013,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_candidate,bullish,13,16,2026-03-09 17:00:00,2026-03-10 20:00:00,2026-03-10 23:00:00,2026-03-10 23:00:00,True,,,,0.009789999999999965,0.3942798774259436,0.006040000000000045,0.6169560776302417
forex_clean_eurusd_h1_minor_partial123_014,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bearish,14,17,2026-03-10 01:00:00,2026-03-11 01:00:00,2026-03-11 04:00:00,2026-03-11 04:00:00,True,wave 2 breaks wave 1 origin,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 2 retracement is visually too deep,0.0038599999999999746,1.5647668393782603,0.006440000000000001,1.668393782383431
forex_clean_eurusd_h1_minor_partial123_015,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bullish,15,18,2026-03-10 07:00:00,2026-03-11 10:00:00,2026-03-11 13:00:00,2026-03-11 13:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.006040000000000045,1.066225165562906,0.0042199999999998905,0.6986754966887183
forex_clean_eurusd_h1_minor_partial123_016,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_candidate,bearish,16,19,2026-03-10 20:00:00,2026-03-12 07:00:00,2026-03-12 10:00:00,2026-03-12 10:00:00,True,,,,0.006440000000000001,0.6552795031055729,0.011309999999999931,1.7562111801242126
forex_clean_eurusd_h1_minor_partial123_017,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_invalid,bullish,17,20,2026-03-11 01:00:00,2026-03-12 14:00:00,2026-03-12 17:00:00,2026-03-12 17:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.0042199999999998905,2.680094786729911,0.0034199999999999786,0.8104265402843761
forex_clean_eurusd_h1_minor_partial123_018,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,minor,partial_impulse_123,partial_123_candidate,bearish,18,21,2026-03-11 10:00:00,2026-03-13 00:00:00,2026-03-13 03:00:00,2026-03-13 03:00:00,True,,,,0.011309999999999931,0.3023872679045092,0.006049999999999889,0.5349248452696663
