candidate_id,source_scope,resolved_market_group,symbol,timeframe,swing_degree,review_category,phase257_policy_bucket,phase257_score,prominence_vs_window,duration_vs_window,relative_structure_size,scale_fit_label,prominence_policy_label,chart_path,example_id,metrics_available,metrics_unavailable_reason,visual_window_prominence,last_n_bars_prominence_120,last_n_bars_prominence_240,last_n_bars_prominence_480,last_n_bars_prominence_960,last_n_bars_prominence_primary,major_context_prominence,major_context_status,robust_window_prominence_p05_p95,robust_window_prominence_p10_p90,atr_normalized_count_size,robust_improvement_ratio_p05_p95,last_n_improvement_ratio,atr_14_at_end,count_window_range_recomputed,visible_window_range_recomputed,robust_window_range_p05_p95,robust_window_range_p10_p90,count_bars_recomputed,visible_window_bars_recomputed,last_n_primary,offline_metric_note,group_percentile_prominence,symbol_percentile_prominence,group_percentile_robust_prominence,symbol_percentile_robust_prominence
partial_123_exp257_forex_majors_audcadr_h4_major_partial123_006,h4_d1,Forex Majors,AUDCAD.r,H4,major,partial_123,exclude_from_guided_search,0.0,0.164652,0.057273,small,not_applicable,prominence_not_applicable,,exp257_forex_majors_audcadr_h4,True,,0.16465189164987673,0.9722405816259032,0.909147095179229,0.909147095179229,,0.909147095179229,,not_available,0.19824530666702617,0.21608202597097356,6.8418604651163015,1.2040268999070112,5.521631644004921,0.002149999999999993,0.01471,0.08934000000000009,0.07420099999999996,0.06807600000000003,63,1100,240,offline_diagnostic_not_live_rule,0.1875,0.1875,0.1875,0.1875
partial_123_exp257_metals_xageurr_h4_major_partial123_002,h4_d1,Metals,XAGEUR.r,H4,major,partial_123,exclude_from_guided_search,0.0,0.038776,0.055455,small,not_applicable,prominence_not_applicable,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\022_partial_123_exp257_metals_xageurr_h4_major_partial123_002.png,exp257_metals_xageurr_h4,True,,0.03877622622973829,0.8309774436090233,0.8309774436090233,0.8309774436090233,,0.8309774436090233,,not_available,0.0576280519090466,0.0651950779249891,11.862005519779258,1.4861696846829942,21.43007518796993,0.23292857142857062,2.7630000000000017,71.255,47.94539999999998,42.38050000000002,61,1100,240,offline_diagnostic_not_live_rule,0.4,0.4,0.4,0.4
partial_123_exp257_index_aus200_h4_major_partial123_002,h4_d1,Index,AUS200,H4,major,partial_123,exclude_from_guided_search,0.0,0.29659,0.075455,medium_small,not_applicable,prominence_not_applicable,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\023_partial_123_exp257_index_aus200_h4_major_partial123_002.png,exp257_index_aus200_h4,True,,0.29658997050147345,0.9169372195673567,0.9169372195673567,0.9169372195673567,,0.9169372195673567,,not_available,0.5015643956324602,0.592645685777067,7.300912863070532,1.691103697081923,3.091598876445491,34.428571428571296,251.35999999999876,847.5,501.15200000000004,424.1319999999996,83,1100,240,offline_diagnostic_not_live_rule,0.4,0.4,0.4,0.4
partial_123_exp257_forex_majors_audcadr_h4_major_partial123_008,h4_d1,Forex Majors,AUDCAD.r,H4,major,partial_123,exclude_from_guided_search,0.0,0.371278,0.155455,balanced,not_applicable,prominence_not_applicable,,exp257_forex_majors_audcadr_h4,True,,0.37127826281620774,1.0250309023485777,0.9581166955517056,0.9190911609864221,,0.9581166955517056,,not_available,0.44702901578145915,0.4872495446265941,14.69092059474855,1.2040268999070112,2.580589254766035,0.002257857142857137,0.03317000000000003,0.08934000000000009,0.07420099999999996,0.06807600000000003,171,1100,240,offline_diagnostic_not_live_rule,0.5625,0.5625,0.5625,0.5625
abc_exp257_forex_majors_audcadr_h4_intermediate_abc_004,h4_d1,Forex Majors,AUDCAD.r,H4,intermediate,abc,exclude_from_guided_search,0.0,0.148758,0.029091,small,not_applicable,prominence_not_applicable,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\025_abc_exp257_forex_majors_audcadr_h4_intermediate_abc_004.png,exp257_forex_majors_audcadr_h4,True,,0.14875755540631308,0.8519230769230752,0.8519230769230752,0.8519230769230752,,0.8519230769230752,,not_available,0.1791080982736086,0.19522298607438773,7.161662817551975,1.2040268999070112,5.726923076923061,0.0018557142857142858,0.013290000000000024,0.08934000000000009,0.07420099999999996,0.06807600000000003,32,1100,240,offline_diagnostic_not_live_rule,0.4375,0.4375,0.4375,0.4375
abc_exp257_metals_xageurr_h4_intermediate_abc_002,h4_d1,Metals,XAGEUR.r,H4,intermediate,abc,exclude_from_guided_search,0.0,0.038776,0.055455,small,not_applicable,prominence_not_applicable,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\026_abc_exp257_metals_xageurr_h4_intermediate_abc_002.png,exp257_metals_xageurr_h4,True,,0.03877622622973829,0.8309774436090233,0.8309774436090233,0.8309774436090233,,0.8309774436090233,,not_available,0.0576280519090466,0.0651950779249891,11.862005519779258,1.4861696846829942,21.43007518796993,0.23292857142857062,2.7630000000000017,71.255,47.94539999999998,42.38050000000002,61,1100,240,offline_diagnostic_not_live_rule,0.6,0.6,0.6,0.6
abc_exp257_index_aus200_h4_intermediate_abc_002,h4_d1,Index,AUS200,H4,intermediate,abc,exclude_from_guided_search,0.0,0.149947,0.021818,small,not_applicable,prominence_not_applicable,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\027_abc_exp257_index_aus200_h4_intermediate_abc_002.png,exp257_index_aus200_h4,True,,0.14994690265486718,1.0,1.0,1.0,,1.0,,not_available,0.2535757614456291,0.2996237020550207,3.6415588668740537,1.6911036970819229,6.669027384324838,34.89714285714308,127.07999999999993,847.5,501.15200000000004,424.1319999999996,24,1100,240,offline_diagnostic_not_live_rule,0.4,0.4,0.4,0.4
abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010,h4_d1,Forex Majors,AUDCAD.r,H4,intermediate,abc,exclude_from_guided_search,0.0,0.110477,0.038182,small,not_applicable,prominence_not_applicable,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\028_abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010.png,exp257_forex_majors_audcadr_h4,True,,0.11047683008730608,0.7136659436008624,0.6326923076923011,0.6326923076923011,,0.6326923076923011,,not_available,0.13301707524157275,0.14498501674598877,4.748453608247407,1.2040268999070112,5.726923076923061,0.002078571428571422,0.009869999999999934,0.08934000000000009,0.07420099999999996,0.06807600000000003,42,1100,240,offline_diagnostic_not_live_rule,0.125,0.125,0.125,0.125
abc_exp257_forex_majors_audcadr_h4_minor_abc_002,h4_d1,Forex Majors,AUDCAD.r,H4,minor,abc,exclude_from_guided_search,0.0,0.174614,0.031818,small,not_applicable,prominence_not_applicable,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\029_abc_exp257_forex_majors_audcadr_h4_minor_abc_002.png,exp257_forex_majors_audcadr_h4,True,,0.1746138347884491,1.0,1.0,1.0,,1.0,,not_available,0.21023975418121138,0.2291556495681305,6.7407407407407,1.2040268999070112,5.726923076923061,0.002314285714285737,0.015600000000000058,0.08934000000000009,0.07420099999999996,0.06807600000000003,35,1100,240,offline_diagnostic_not_live_rule,0.5625,0.5625,0.5625,0.5625
abc_exp257_metals_xageurr_h4_minor_abc_002,h4_d1,Metals,XAGEUR.r,H4,minor,abc,exclude_from_guided_search,0.0,0.043295,0.044545,small,not_applicable,prominence_not_applicable,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\030_abc_exp257_metals_xageurr_h4_minor_abc_002.png,exp257_metals_xageurr_h4,True,,0.043295207353869866,0.9853082082401791,0.9853082082401791,0.9853082082401791,,0.9853082082401791,,not_available,0.06434402466138563,0.07279291183445206,9.818140486474197,1.4861696846829942,22.757904822740365,0.3142142857142855,3.0849999999999973,71.255,47.94539999999998,42.38050000000002,49,1100,240,offline_diagnostic_not_live_rule,0.7,0.7,0.7,0.7
