candidate_id,selection_reason,resolved_market_group,source_scope,symbol,timeframe,swing_degree,review_category,phase257_policy_bucket,prominence_vs_window,visual_window_prominence,robust_window_prominence_p05_p95,last_n_bars_prominence_primary,atr_normalized_count_size,group_percentile_prominence,symbol_percentile_prominence,chart_path,reviewed_chart_path
impulse_exp252_metals_xagusd_h4_intermediate_impulse_002,Metals_intermediate_high_visual_prominence,Metals,h4_d1,XAGUSD.r,H4,intermediate,impulse,visual_watchlist_low_prominence,0.053223,,,,,,,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\matches\006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\021_006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png
partial_123_exp257_metals_xageurr_h4_major_partial123_002,Metals_major_low_visual_prominence,Metals,h4_d1,XAGEUR.r,H4,major,partial_123,exclude_from_guided_search,0.038776,0.03877622622973829,0.0576280519090466,0.8309774436090233,11.862005519779258,0.4,0.4,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\022_partial_123_exp257_metals_xageurr_h4_major_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\022_022_partial_123_exp257_metals_xageurr_h4_major_partial123_002.png
partial_123_exp252_metals_xagusd_h4_major_partial123_002,Metals_major_mid_visual_prominence,Metals,h4_d1,XAGUSD.r,H4,major,partial_123,exclude_from_guided_search,0.053223,,,,,,,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\022_partial_123_exp252_metals_xagusd_h4_major_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\023_022_partial_123_exp252_metals_xagusd_h4_major_partial123_002.png
impulse_exp257_metals_xageurr_h4_major_impulse_030,Metals_major_high_visual_prominence,Metals,h4_d1,XAGEUR.r,H4,major,impulse,usable_provisional_structure,0.553603,0.5536032559118659,0.8227483762780167,0.7780166462861425,8.335592350535071,1.0,1.0,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\010_impulse_exp257_metals_xageurr_h4_major_impulse_030.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\024_010_impulse_exp257_metals_xageurr_h4_major_impulse_030.png
impulse_exp257_metals_xageurr_h4_minor_impulse_012,Metals_minor_low_visual_prominence,Metals,h4_d1,XAGEUR.r,H4,minor,impulse,exclude_from_guided_search,0.019648,0.019647744017963632,0.029199881531909198,0.421052631578947,6.765619606489502,0.2,0.2,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\002_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\025_002_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png
impulse_exp252_metals_xagusd_h4_minor_impulse_004,Metals_minor_mid_visual_prominence,Metals,h4_d1,XAGUSD.r,H4,minor,impulse,exclude_from_guided_search,0.039935,,,,,,,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\026_002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png
partial_123_exp257_metals_xageurr_h4_minor_partial123_002,Metals_minor_high_visual_prominence,Metals,h4_d1,XAGEUR.r,H4,minor,partial_123,exclude_from_guided_search,0.043295,0.043295207353869866,0.06434402466138563,0.9853082082401791,9.818140486474197,0.7,0.7,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\018_partial_123_exp257_metals_xageurr_h4_minor_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\027_018_partial_123_exp257_metals_xageurr_h4_minor_partial123_002.png
impulse_aux252b_metals_xagusd_h1_minor_impulse_005,Metals_robust_window_improves,Metals,h1_h4,XAGUSD.r,H1,minor,impulse,auxiliary_low_prominence_substructure,0.180173,0.18017266836903084,0.2846564883401168,0.5227032202791916,7.689472569370908,0.6,0.6,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_near_misses\002_impulse_aux252b_metals_xagusd_h1_minor_impulse_005.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\028_002_impulse_aux252b_metals_xagusd_h1_minor_impulse_005.png
hard_invalid_aux252b_metals_xagusd_h1_major_impulse_001,metals_h1_h4_possible_better_representation,Metals,h1_h4,XAGUSD.r,H1,major,hard_invalid,exclude_from_guided_search,0.361787,0.36178713499053267,0.5715908872598932,1.0,30.363219827137414,1.0,1.0,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\053_hard_invalid_aux252b_metals_xagusd_h1_major_impulse_001.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\029_053_hard_invalid_aux252b_metals_xagusd_h1_major_impulse_001.png
hard_invalid_aux252b_metals_xagusd_h1_intermediate_impulse_001,metals_h1_h4_possible_better_representation,Metals,h1_h4,XAGUSD.r,H1,intermediate,hard_invalid,exclude_from_guided_search,0.344694,0.3446940087202738,0.5445852967733261,1.0,14.710972251641627,1.0,1.0,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\047_hard_invalid_aux252b_metals_xagusd_h1_intermediate_impulse_001.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\metals\030_047_hard_invalid_aux252b_metals_xagusd_h1_intermediate_impulse_001.png
