candidate_id,selection_reason,resolved_market_group,source_scope,symbol,timeframe,swing_degree,review_category,phase256_policy_bucket,phase259_candidate_bucket,phase259_bucket_change_vs_256,phase259_prominence_diagnostic,visual_window_prominence,robust_window_prominence_p05_p95,robust_prominence_percentile,percentile_scope_used,chart_path,reviewed_chart_path
partial_123_exp257_metals_xageurr_h4_major_partial123_002,not_applicable,Metals,h4_d1,XAGEUR.r,H4,major,partial_123,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.0387762262297382,0.0576280519090466,0.4,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\022_partial_123_exp257_metals_xageurr_h4_major_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\021_022_partial_123_exp257_metals_xageurr_h4_major_partial123_002.png
partial_123_exp257_index_aus200_h4_major_partial123_002,not_applicable,Index,h4_d1,AUS200,H4,major,partial_123,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.2965899705014734,0.5015643956324602,0.4,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\023_partial_123_exp257_index_aus200_h4_major_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\022_023_partial_123_exp257_index_aus200_h4_major_partial123_002.png
abc_exp257_forex_majors_audcadr_h4_intermediate_abc_004,not_applicable,Forex Majors,h4_d1,AUDCAD.r,H4,intermediate,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.148757555406313,0.1791080982736086,0.4375,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\025_abc_exp257_forex_majors_audcadr_h4_intermediate_abc_004.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\023_025_abc_exp257_forex_majors_audcadr_h4_intermediate_abc_004.png
abc_exp257_metals_xageurr_h4_intermediate_abc_002,not_applicable,Metals,h4_d1,XAGEUR.r,H4,intermediate,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.0387762262297382,0.0576280519090466,0.6,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\026_abc_exp257_metals_xageurr_h4_intermediate_abc_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\024_026_abc_exp257_metals_xageurr_h4_intermediate_abc_002.png
abc_exp257_index_aus200_h4_intermediate_abc_002,not_applicable,Index,h4_d1,AUS200,H4,intermediate,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.1499469026548671,0.2535757614456291,0.4,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\027_abc_exp257_index_aus200_h4_intermediate_abc_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\025_027_abc_exp257_index_aus200_h4_intermediate_abc_002.png
abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010,not_applicable,Forex Majors,h4_d1,AUDCAD.r,H4,intermediate,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.110476830087306,0.1330170752415727,0.125,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\028_abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\026_028_abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010.png
abc_exp257_forex_majors_audcadr_h4_minor_abc_002,not_applicable,Forex Majors,h4_d1,AUDCAD.r,H4,minor,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.1746138347884491,0.2102397541812113,0.5625,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\029_abc_exp257_forex_majors_audcadr_h4_minor_abc_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\027_029_abc_exp257_forex_majors_audcadr_h4_minor_abc_002.png
abc_exp257_metals_xageurr_h4_minor_abc_002,not_applicable,Metals,h4_d1,XAGEUR.r,H4,minor,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.0432952073538698,0.0643440246613856,0.7,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\030_abc_exp257_metals_xageurr_h4_minor_abc_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\028_030_abc_exp257_metals_xageurr_h4_minor_abc_002.png
abc_exp257_index_aus200_h4_minor_abc_002,not_applicable,Index,h4_d1,AUS200,H4,minor,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.1499469026548671,0.2535757614456291,0.5,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\031_abc_exp257_index_aus200_h4_minor_abc_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\029_031_abc_exp257_index_aus200_h4_minor_abc_002.png
abc_exp257_forex_majors_audcadr_h4_minor_abc_005,not_applicable,Forex Majors,h4_d1,AUDCAD.r,H4,minor,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.162860980523842,0.1960890014959376,0.1875,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\032_abc_exp257_forex_majors_audcadr_h4_minor_abc_005.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\030_032_abc_exp257_forex_majors_audcadr_h4_minor_abc_005.png
abc_exp257_forex_majors_audcadr_h4_major_abc_006,not_applicable,Forex Majors,h4_d1,AUDCAD.r,H4,major,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.1646518916498767,0.1982453066670261,0.1875,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\033_abc_exp257_forex_majors_audcadr_h4_major_abc_006.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\031_033_abc_exp257_forex_majors_audcadr_h4_major_abc_006.png
abc_exp257_metals_xageurr_h4_major_abc_002,not_applicable,Metals,h4_d1,XAGEUR.r,H4,major,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.0387762262297382,0.0576280519090466,0.4,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\034_abc_exp257_metals_xageurr_h4_major_abc_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\032_034_abc_exp257_metals_xageurr_h4_major_abc_002.png
abc_exp257_index_aus200_h4_major_abc_002,not_applicable,Index,h4_d1,AUS200,H4,major,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.2965899705014734,0.5015643956324602,0.4,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\035_abc_exp257_index_aus200_h4_major_abc_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\033_035_abc_exp257_index_aus200_h4_major_abc_002.png
abc_exp257_forex_majors_audcadr_h4_major_abc_008,not_applicable,Forex Majors,h4_d1,AUDCAD.r,H4,major,abc,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.3712782628162077,0.4470290157814591,0.5625,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\036_abc_exp257_forex_majors_audcadr_h4_major_abc_008.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\034_036_abc_exp257_forex_majors_audcadr_h4_major_abc_008.png
near_miss_exp257_forex_majors_audcadr_h4_major_impulse_006,robust_prominence_confirmed,Forex Majors,h4_d1,AUDCAD.r,H4,major,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,robust_prominence_confirmed,0.3875083948959027,0.4665705313944556,0.75,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\043_near_miss_exp257_forex_majors_audcadr_h4_major_impulse_006.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\035_043_near_miss_exp257_forex_majors_audcadr_h4_major_impulse_006.png
near_miss_exp257_index_aus200_h4_major_impulse_002,robust_prominence_confirmed,Index,h4_d1,AUS200,H4,major,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,robust_prominence_confirmed,0.2965899705014734,0.5015643956324602,0.4,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\045_near_miss_exp257_index_aus200_h4_major_impulse_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\036_045_near_miss_exp257_index_aus200_h4_major_impulse_002.png
hard_invalid_exp257_metals_xageurr_h4_minor_impulse_001,not_applicable,Metals,h4_d1,XAGEUR.r,H4,minor,hard_invalid,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.0432952073538698,0.0643440246613856,0.7,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\invalidations\050_hard_invalid_exp257_metals_xageurr_h4_minor_impulse_001.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\037_050_hard_invalid_exp257_metals_xageurr_h4_minor_impulse_001.png
hard_invalid_exp257_index_aus200_h4_minor_impulse_001,not_applicable,Index,h4_d1,AUS200,H4,minor,hard_invalid,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.1499469026548671,0.2535757614456291,0.5,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\invalidations\051_hard_invalid_exp257_index_aus200_h4_minor_impulse_001.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\038_051_hard_invalid_exp257_index_aus200_h4_minor_impulse_001.png
hard_invalid_exp257_metals_xageurr_h4_major_impulse_001,not_applicable,Metals,h4_d1,XAGEUR.r,H4,major,hard_invalid,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.0404743526770051,0.060151755955733,0.8,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\invalidations\053_hard_invalid_exp257_metals_xageurr_h4_major_impulse_001.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\039_053_hard_invalid_exp257_metals_xageurr_h4_major_impulse_001.png
hard_invalid_exp257_index_aus200_h4_major_impulse_001,not_applicable,Index,h4_d1,AUS200,H4,major,hard_invalid,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,not_applicable,0.3234572271386421,0.5469997126620251,0.8,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\invalidations\054_hard_invalid_exp257_index_aus200_h4_major_impulse_001.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\040_054_hard_invalid_exp257_index_aus200_h4_major_impulse_001.png
